bjd,rvc,e_rvc,avc,e_avc,nzp_date,e_nzp_date,nzp_obs,e_nzp_obs,tzp_pix,tzp_pix_w,tzp_rv,tzp_rv_w,pix2ms,t1,t2,t3,t4,t5,t6,t7,t8,pres,star,spt
2458297.520600,-10.745806,1.170957,1.129240,1.523537,0.527547,0.777809,-0.531226,0.974693,0.002222,-0.000085,2.814564,-0.084980,1256.559107,10.832000,10.659000,10.658182,10.488727,10.436583,10.358417,10.452000,10.326182,0.000009,J19098+176,M4.5 V
2458323.440500,-10.347442,1.296442,0.397066,1.436979,1.899680,0.655031,0.599311,0.619795,0.003063,-0.000032,3.783654,-0.104656,1257.539697,10.861000,10.688182,10.686500,10.517833,10.465583,10.387273,10.481182,10.354250,0.000010,J19098+176,M4.5 V
2458350.374300,-9.541280,1.172055,1.154600,1.446952,2.224048,0.743722,0.647939,0.848503,0.006567,0.000019,8.204904,-0.030188,1258.088913,10.871273,10.698417,10.697455,10.527583,10.474417,10.395182,10.489273,10.363250,0.000013,J19098+176,M4.5 V
2458391.352200,-11.998648,1.063420,-0.170936,1.192843,0.791722,0.611806,-0.483893,0.540383,0.005033,0.000365,6.316552,0.450314,1256.946643,10.867091,10.695333,10.693750,10.525000,10.472000,10.392727,10.487083,10.360500,0.000019,J19098+176,M4.5 V
2458538.715000,-12.182352,1.386332,-1.364753,1.544510,1.333044,0.691911,0.526220,0.680878,0.002528,-0.000093,3.275193,-0.022898,1256.790748,10.778818,10.607333,10.605000,10.436667,10.386417,10.307727,10.400583,10.274583,0.000013,J19098+176,M4.5 V
2458559.687800,-9.941063,1.479449,1.586597,1.532483,0.657766,0.394891,-0.183840,0.399669,0.004248,-0.000055,5.409555,-0.002845,1256.850500,10.793917,10.621273,10.620583,10.451273,10.402364,10.323417,10.417583,10.291182,0.000005,J19098+176,M4.5 V
2458696.477200,-11.343774,1.117346,-1.639831,1.634692,2.635294,1.081492,1.639877,1.193213,0.004815,-0.000214,5.964774,-0.359917,1258.369043,10.917167,10.744636,10.743250,10.574500,10.521273,10.443083,10.536750,10.410455,0.000002,J19098+176,M4.5 V
2458206.484200,-11.330363,1.244759,-4.111669,1.369460,-0.013188,0.472476,-0.745436,0.570959,-0.000362,0.000069,-0.396530,0.142514,1256.815575,10.762333,10.590182,10.589500,10.420667,10.371833,10.293250,10.386818,10.261182,0.000023,J14524+123,M2.0 V
2458649.451400,-1.384321,1.211351,4.762180,1.523097,2.127025,1.101687,0.326756,0.923284,0.003875,-0.000005,4.851455,-0.025106,1257.082132,10.845182,10.672833,10.671545,10.503667,10.451833,10.374091,10.466273,10.340250,0.000011,J14524+123,M2.0 V
2458665.421300,-5.145851,0.830896,0.422178,1.739143,1.832047,1.186538,0.905228,1.527818,0.002620,-0.000198,3.169069,-0.370900,1258.477753,10.896917,10.724000,10.723000,10.554455,10.502455,10.422583,10.517273,10.390636,0.000013,J14524+123,M2.0 V
2458060.607200,-6.543793,2.428207,1.076924,2.519203,4.145857,0.615326,2.427353,0.670964,0.002412,0.000282,3.044470,0.364601,1257.955764,10.874000,10.701250,10.700364,10.530583,10.481500,10.402727,10.496818,10.369500,0.000003,J09144+526,M0.0 V
2458064.590300,-14.929112,4.359265,-7.482389,4.421816,3.984659,0.713692,2.601348,0.741123,0.000495,-0.000338,0.677848,-0.370662,1257.631379,10.851727,10.678455,10.677750,10.508750,10.460182,10.381167,10.474250,10.348273,0.000003,J09144+526,M0.0 V
2458084.520600,-1.898114,1.117651,7.964702,1.879002,1.517542,1.472287,0.185255,1.510465,0.001880,0.000617,2.393092,0.802757,1257.440993,10.783091,10.610417,10.609250,10.440273,10.390500,10.312250,10.405167,10.279455,0.000005,J09144+526,M0.0 V
2458085.615600,-2.129922,3.301903,6.848960,3.418052,2.152188,0.945853,1.069189,0.883467,0.002200,0.000299,2.801120,0.408252,1258.401428,10.781500,10.608583,10.607818,10.439167,10.390250,10.311545,10.404364,10.278917,0.000005,J09144+526,M0.0 V
2458088.640800,-8.162050,3.061345,-2.240557,3.472723,4.891127,1.367850,4.126578,1.639504,0.001226,0.000155,1.619294,0.271342,1257.727209,10.775545,10.602818,10.601917,10.433083,10.384727,10.305917,10.400083,10.272636,0.000006,J09144+526,M0.0 V
2458089.566400,-10.878295,4.298296,0.571541,4.355004,0.096459,0.640874,-1.401765,0.700507,0.001455,0.000841,1.893014,1.119400,1257.772155,10.777167,10.604818,10.603636,10.434917,10.387091,10.308000,10.401727,10.275333,0.000006,J09144+526,M0.0 V
2458094.645900,-8.059584,0.790902,0.144934,1.037217,2.709813,0.595489,1.843553,0.671038,0.002346,0.000261,2.978258,0.354988,1257.582713,10.778333,10.605727,10.604667,10.436250,10.387182,10.307333,10.401750,10.275364,0.000006,J09144+526,M0.0 V
2458095.552200,-14.876870,1.023254,-1.966046,1.417711,-2.395280,0.825667,-2.862754,0.981253,0.000207,0.000272,0.294058,0.376179,1258.178294,10.780364,10.608273,10.606583,10.437333,10.388091,10.309583,10.403667,10.276545,0.000006,J09144+526,M0.0 V
2458097.631400,-16.072024,1.255037,-3.500023,1.610842,-2.331717,1.419974,-2.523931,1.009798,0.000430,0.000540,0.601835,0.741050,1259.606740,10.768182,10.595455,10.593917,10.425500,10.376636,10.297583,10.391333,10.264455,0.000006,J09144+526,M0.0 V
2458109.482300,-12.993971,1.438668,-4.267001,1.627950,1.595588,0.792154,1.321100,0.761876,0.002857,0.000358,3.628834,0.484055,1258.267702,10.759273,10.586909,10.585083,10.417000,10.367727,10.288750,10.383083,10.256455,0.000008,J09144+526,M0.0 V
2458110.426600,-12.779504,1.683108,-1.532093,1.908981,-0.247688,0.784519,-1.199340,0.900754,-0.000509,0.000510,-0.596719,0.685765,1258.796678,10.765909,10.592909,10.592250,10.424083,10.375545,10.295917,10.390167,10.264364,0.000007,J09144+526,M0.0 V
2458114.400200,-18.179482,2.939074,-10.613199,3.191680,3.623979,1.371132,2.481787,1.244455,0.001811,0.000611,2.375336,0.859778,1258.980203,10.761583,10.589667,10.587727,10.418750,10.370333,10.291182,10.385091,10.258917,0.000008,J09144+526,M0.0 V
2458117.451700,-5.993144,1.597656,3.957913,1.730530,1.318143,0.761856,0.097014,0.665002,0.001754,0.000409,2.228998,0.533118,1260.362835,10.755667,10.583250,10.582091,10.413545,10.364417,10.286636,10.379545,10.253583,0.000008,J09144+526,M0.0 V
