Karmn,Name,GJ,RA_J2016_deg,DE_J2016_deg,l_J2016_deg,b_J2016_deg,Ref01,SpT,SpTnum,Ref02,Teff_K,eTeff_K,logg,elogg,[Fe/H],e[Fe/H],Ref03,L_Lsol,eL_Lsol,R_Rsol,eR_Rsol,Ref04,M_Msol,eM_Msol,Massflag,Ref05,muRA_masa-1,emuRA_masa-1,muDE_masa-1,emuDE_masa-1,Ref06,pi_mas,epi_mas,Ref07,d_pc,ed_pc,Ref08,Vr_kms-1,eVr_kms-1,Ref09,U_kms-1,eU_kms-1,V_kms-1,eV_kms-1,W_kms-1,eW_kms-1,Ref10,sa_m/s/a,esa_m/s/a,Ref11,SKG,Ref12,Pop,Ref13,vsini_flag,vsini_kms-1,evsini_kms-1,Ref14,P_d,eP_d,Ref15,pEWHalpha_A,epEWHalpha_A,Ref16,log(LHalpha/Lbol),elog(LHalpha/Lbol),Ref17,1RXS,CRT_s-1,eCRT_s-1,HR1,eHR1,HR2,eHR2,Flux_X_E-13_ergcm-2s-1,eFlux_X_E-13_ergcm-2s-1,LX/LJ,eLX/LJ,Ref18,Activity,Ref19,FUV_mag,eFUV_mag,NUV_mag,eNUV_mag,Ref20,u_mag,eu_mag,Ref21,BT_mag,eBT_mag,Ref22,B_mag,eB_mag,Ref23,BP_mag,eBP_mag,Ref24,g_mag,eg_mag,Ref25,VT_mag,eVT_mag,Ref26,GG_mag,eGG_mag,Ref27,V_mag,eV_mag,Ref28,Ra_mag,Ref29,r_mag,er_mag,Ref30,RP_mag,eRP_mag,Ref31,i_mag,ei_mag,Ref32,IN_mag,Ref33,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,QFlag_2MASS,Ref34,W1_mag,eW1_mag,W2_mag,eW2_mag,W3_mag,eW3_mag,W4_mag,eW4_mag,QFlag_WISE,Ref35,Multiplicity,Comp,WideWDS,Widerho_arcsec,eWiderho_arcsec,Ref36,WideCompanionName,WideCompanionSpT,CloseWDS,Closerho_arcsec,eCloserho_arcsec,Ref37,CloseCompanionSpT,RV,Planet,Ref38,PlanetNum,LoRes_spectrum,HiRes_spectrum,LoRes_imaging,HiRes_imaging,RA_J2000,DE_J2000,Ref39,SS,Class,Flags,Notes,Gaia_id_1,Gaia_id_2,2MASS_id
J00012+139N,BD+13 5195,,0.3050537794983011,13.975720698920389,104.87113435705659,-47.127377983392634,Gaia2,M0.5 V+,0.5,JA74,,,,,,,,,,,,,,,,,26.07,0.83,160.19,0.71,Gaia2,23.25,0.43,Gaia2,43.02,0.79,Gaia2,,,,,,,,,,,0.01620310908634898,0.002919316025582484,Wolt17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.926,0.366,19.26,0.049,GALEX,15.011,0.007,SDSS9,12.077,0.101,TYC2,11.693,0.02,UCAC4,10.7216,0.0013,Gaia2,11.476,0.001,SDSS9,10.66,0.044,TYC2,9.8721,3.0E-4,Gaia2,10.264,0.03,UCAC4,9.996,UCAC3,10.174,0.0782,PS1,8.9802,9.0E-4,Gaia2,9.6231,0.0208,PS1,9.22,US-B1,7.798,0.023,7.179,0.033,7.023,0.026,AAA,2M,6.162,0.064,6.638,0.021,6.685,0.016,6.617,0.078,AAAA,WISE,Wide + Resolved Physical,,WNO 12,11.60,,,J00012+139S,,LSC2,0.2166,,Ell15,,,No,,0,,,,[DSSI],00:01:13.19,+13:58:30.3,2M,SX,Delta,B.F,#,2767387380324493184,,00011318+1358302
J00012+139S,BD+13 5195B,,0.30370624308128563,13.972761050273586,104.86805468254713,-47.12984361069769,Gaia2,M0.0 V,0.0,Lep13,,,,,,,,,,,,,0.63859653,0.01586726,,Karmn,26.37,0.14,149.52,0.08,Gaia2,27.77,0.08,Gaia2,36.01,0.1,Gaia2,-10.69,0.41,Gaia2,-13.68,0.08,6.43,0.27,23.61,0.3,CC19,0.016203108264969894,0.0029193158825625595,Wolt17,,,D,CC19,,,,,,,,-0.41,,Lep13,,,,,,,,,,,,,,,,,,,,19.857,0.069,GALEX,15.304,0.007,SDSS9,13.668,0.327,TYC2,11.693,0.02,UCAC4,11.3653,0.001,Gaia2,13.3194,0.001,PS1,11.118,0.066,TYC2,10.4465,5.0E-4,Gaia2,10.264,0.03,UCAC4,10.463,UCAC3,11.1105,0.2422,PS1,9.5303,7.0E-4,Gaia2,10.0165,0.0072,PS1,9.36,US-B1,8.359,0.024,7.714,0.034,7.528,0.027,AAA,2M,7.76,0.032,7.634,0.02,7.552,0.017,7.533,0.151,AAAB,WISE*,Wide,B,WNO 12,11.60,,,J00012+139N,,,,,,,,No,,0,,,,,00:01:12.86,+13:58:19.7,2M,,Gamma,..F,#,2767384425386994048,,00011286+1358196
J00026+383,2MASS J00024011+3821453,,0.6666684406578297,38.36225365884308,112.52651746805027,-23.522076880422368,Gaia2,M4.0 V,4.0,Fri13,,,,,,,,,,,,,0.4669156,0.012036912,,Karmn,-70.31,0.28,-22.34,0.19,Gaia2,24.54,0.24,Gaia2,40.75,0.39,Gaia2,,,,,,,,,,,0.0037756584640020003,2.452939250707434E-4,Wolt17,,,,,,,,,,,,,,,,,,J000242.3+382111,0.0396,0.0131,0.27,0.39,-0.1,0.56,3.86,1.28,9.41,3.7,1RXS*,,,21.965,0.4,20.15,0.114,GALEX,,,,,,,15.507,0.04,UCAC4,14.4506,0.038,Gaia2,14.671,0.04,UCAC4,,,,13.19,0.0012,Gaia2,13.931,0.02,UCAC4,13.555,UCAC4,13.303,0.03,UCAC4,11.6342,0.0323,Gaia2,11.785,0.03,UCAC4,10.62,US-B1,9.707,0.034,9.203,0.04,8.911,0.029,AAA,2M,8.568,0.023,8.385,0.019,8.265,0.022,8.506,0.372,AAAC,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,,00:02:40.12,+38:21:45.3,2M,,Delta,..F,,2880923878720791680,2880923878719382656,00024011+3821453
J00033+046,StKM 1-2199,,0.8290641464200542,4.686568128812952,101.04877546629372,-56.1269967287083,Gaia2,M1.5 V,1.5,Lep13,,,,,,,,,,,,,0.4948969,0.011980231,,Karmn,-25.76,0.17,-84.29,0.1,Gaia2,34.89,0.09,Gaia2,28.66,0.08,Gaia2,-5.95,0.43,Gaia2,9.15,0.05,-9.74,0.24,-0.43,0.36,CC19,0.005081486843398749,9.96325400910636E-5,Wolt17,,,YD,CC19,,,,,,,,-0.39,,Lep13,,,,,,,,,,,2.21,0.94,,,,,,,,21.181,0.162,GALEX,15.743,0.007,SDSS9,,,,13.595,0.06,UCAC4,12.2884,0.002,Gaia2,12.811,0.0,UCAC4,,,,11.1513,0.002,Gaia2,12.034,0.05,UCAC4,11.668,UCAC3,11.531,0.001,UCAC4,10.1437,0.0011,Gaia2,10.499,0.05,UCAC4,13.6,US-B1,8.833,0.029,8.183,0.018,7.976,0.024,AAA,2M,7.799,0.028,7.746,0.019,7.664,0.018,7.434,0.149,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,,00:03:19.00,+04:41:12.9,2M,,Gamma,..F,# HIP 263 -> StKM 1-2199,2741901697224268928,,00031900+0441128
J00051+457,GJ 2,2,1.300747867015823,45.785915382384346,114.55966715017834,-16.332888108700903,Gaia2,M1.0 V,1.0,PMSU,3675.0,51.0,4.84,0.07,-0.16,0.16,Schw19,0.04341,8.58E-4,0.5138,0.01514,Schw19,0.5181,0.01974,,Schw19,870.75,0.06,-151.27,0.04,Gaia2,86.96,0.04,Gaia2,11.5,0.01,Gaia2,-0.5610277935302446,0.023005951818810946,Lafa20,-38.83,0.04,-23.57,0.03,-16.09,0.01,CC19,0.20163498452030051,0.003248034530426648,Wolt17,HS,CC19,YD,CC19,<,2.0,,Rein18,15.37,0.09,DA19,-0.064,0.008,Schf19,,,Schf19,,,,,,,,,,,,,,,,,,,,,,,11.752,0.06,TYC2,11.504,0.123,APASS9,10.1965,0.0024,Gaia2,10.4983,0.078,PS1,10.194,0.027,TYC2,9.0794,7.0E-4,Gaia2,10.102,0.074,APASS9,9.358,UCAC3,9.326,0.0,CMC15,8.0604,0.0019,Gaia2,8.6121,0.0493,PS1,8.51,US-B1,6.704,0.021,6.098,0.024,5.853,0.018,AAA,2M,5.755,0.153,5.569,0.049,5.599,0.015,5.52,0.038,BAAA,WISE,Wide,C,STT547(AF),327.9,,,GJ 4A\\J00056+458,K6V\\M0V,,,,,,CARMENES+SOPHIE,No,,0,,CAFE,,[WD15],00:05:10.78,+45:47:11.6,2M,S3,Alpha,,,386655019234959872,,00051079+4547116
J00056+458,HD 38B,4B,1.4260701033689076,45.80973654485783,114.65373274014325,-16.325626757601942,Gaia2,M0.0 V,0.0,Cve12,,,,,,,,,,,,,,,,,845.89,0.17,-148.54,0.11,Gaia2,86.94,0.06,Gaia2,11.5,0.01,Gaia2,,,,,,,,,,,0.21223279195038347,0.0010343748010038874,Wolt17,,,,,=,3.0,2.3,Jeff18,,,,0.43,0.07,Schf15,,,,,,,,,,,3.01,0.83,,,,,,,,,,,,,,10.757,0.037,TYC2,10.746,0.0,UCAC4,9.2452,0.0016,Gaia2,10.43,,PS1,9.15,0.016,TYC2,8.301,6.0E-4,Gaia2,9.096,0.0,UCAC4,,,8.906,,PS1,7.3647,0.0014,Gaia2,8.142,,PS1,7.41,US-B1,6.142,0.026,4.708,9.996,5.284,0.023,AFA,2M,5.268,0.177,4.932,0.1,5.249,0.028,5.15,0.058,BBAA,WISE*,Wide,B,STT547(AB+AF),6.0\\327.9,,,GJ 4A\\J00051+457,K6V\\M1V,,,,,,,No,,0,,CAFE,,,00:05:40.90,+45:48:37.5,2M,SX,Delta,J..,,386653747924807424,,00054090+4548374
J00067-075,GJ 1002,1002,1.6764641244063048,-7.546212317389292,92.44527091838549,-67.73032645839416,Gaia2,M5.5 V,5.5,PMSU,3061.0,51.0,5.19,0.07,-0.13,0.16,Schw19,0.001403,1.7E-5,0.1331,0.004506,Schw19,0.1164,0.009242,,Schw19,-811.48,0.21,-1892.9,0.12,Gaia2,206.21,0.13,Gaia2,4.849,0.003,Gaia2,-40.12300209651084,0.020003603429797415,Lafa20,38.24,0.02,-41.6,0.02,25.66,0.02,CC19,0.46707212712522034,0.004085070271470993,Wolt17,,,D,CC19,<,2.0,,Rein18,,,,0.0,,Schf19,,,Schf19,,,,,,,,,,,,,,,,,,,,17.547,0.014,SDSS9,,,,15.824,0.07,UCAC4,14.0961,0.0024,Gaia2,14.637,0.01,UCAC4,,,,11.7804,8.0E-4,Gaia2,13.837,0.03,UCAC4,13.586,UCAC4,13.157,0.01,UCAC4,10.4046,0.0023,Gaia2,11.042,0.07,UCAC4,10.51,US-B1,8.323,0.019,7.792,0.034,7.439,0.021,AAA,2M,7.155,0.046,7.029,0.02,6.859,0.016,6.697,0.081,AAAA,WISE,Single,-,,,,,,,,,,,,CARMENES,No,,0,,,,FastCam,00:06:43.26,-07:32:14.7,2M,S1,Alpha,,,2441630500517079808,,00064325-0732147
J00077+603,G 217-032,,1.9302610098369308,60.38166199792114,117.55189141334955,-2.032627323740721,Gaia2,M4.0 V+,4.0,AF15a,,,,,,,,,,,,,,,,,321.81,1.48,-5.61,1.18,Gaia2,60.68,0.91,Gaia2,16.48,0.25,Gaia2,,,,,,,,,,,0.03979330120393357,0.0016205519478460827,Wolt17,,,,,=,7.8,,Jeff18,,,,-4.5,0.6,Schf15,,,,J000742.4+602251,0.17,0.0195,-0.41,0.1,0.0,0.2,10.43,1.2,12.23,1.76,1RXS,,,,,,,,,,,,,,15.083,0.05,UCAC4,13.6596,0.0078,Gaia2,14.128,0.03,UCAC4,,,,12.2395,0.0093,Gaia2,13.399,0.02,UCAC4,13.201,UCAC3,12.75,0.01,UCAC4,10.7077,0.006,Gaia2,11.198,0.04,UCAC4,10.32,US-B1,8.911,0.021,8.332,0.024,8.046,0.02,AAA,2M,7.843,0.026,7.67,0.02,7.5,0.018,7.153,0.065,AAAA,WISE,Resolved Physical,AB,,,,,,,JNN247,0.5289,0.0009,Bow15,,,No,,0,CAFOS,CAFE,,(Astralux) [Bow15],00:07:42.64,+60:22:54.3,2M,SX,Delta,B..,35-300Ma Shk09.,429297924157113856,429297859741477888,00074264+6022543
J00078+676,2MASS J00075079+6736255,,1.961076103608225,67.60665318474487,118.78508436829783,5.086568687623972,Gaia2,M2.0 V,2.0,Lep13,,,,,,,,,,,,,0.54623973,0.01381503,,Karmn,-62.53,0.82,-96.09,0.76,Gaia2,37.24,0.48,Gaia2,26.85,0.34,Gaia2,,,,5.1,,,,-8.5,,Lep13,0.006272745967808212,5.329483290262958E-4,Wolt17,,,,,,,,,,,,-3.11,,Lep13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.34,0.03,UCAC4,12.134,0.0021,Gaia2,12.582,0.03,UCAC4,,,,10.9205,0.0025,Gaia2,11.852,0.11,UCAC4,11.542,UCAC3,11.238,0.02,UCAC4,9.8234,0.0014,Gaia2,10.161,0.06,UCAC4,9.65,US-B1,8.355,0.023,7.725,0.038,7.512,0.016,AAA,2M,7.298,0.036,7.267,0.02,7.081,0.02,6.876,0.103,AAAA,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,,00:07:50.80,+67:36:25.6,2M,,Gamma,..F,,528913132171021568,,00075079+6736255
J00079+080,LP 524-065,3007,1.994799957263926,8.003626200783634,104.72157974303882,-53.324595569880806,Gaia2,M3.0 V,3.0,PMSU,,,,,,,,,,,,,0.37383556,0.008918426,,Karmn,-350.99,0.25,-413.98,0.16,Gaia2,35.96,0.11,Gaia2,27.81,0.09,Gaia2,-26.79,1.24,Gaia2,69.87,0.25,-30.84,0.73,-2.04,1.0,CC19,0.161860126442239,0.02317630667347822,Wolt17,,,D,CC19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.758,0.013,SDSS9,,,,14.632,0.06,UCAC4,13.3494,0.0018,Gaia2,13.806,0.03,UCAC4,,,,12.0122,4.0E-4,Gaia2,13.035,0.06,UCAC4,12.51,UCAC3,12.445,0.03,UCAC4,10.8837,7.0E-4,Gaia2,11.239,0.06,UCAC4,10.38,US-B1,9.392,0.024,8.911,0.033,8.652,0.019,AAA,2M,8.519,0.023,8.319,0.021,8.233,0.023,8.023,0.24,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,(FastCam),00:07:59.09,+08:00:19.1,2M,,Gamma,..F,#,2751999130977261184,,00075909+0800190
