
jd,d_a,d_a_std,d_b,d_b_std,dd,dd_std,tccd,t1,t2,t3,t4,t5,t6,t7,t8,p,dd_rv,date
58046.571470,0.116681,0.004443,0.117284,0.005128,0.076889,0.018840,-113.232518,10.894000,10.721214,10.719467,10.550667,10.499500,10.421133,10.514857,10.387786,0.000002,96.119867,2017-10-20
58047.699954,0.126225,0.006138,0.126678,0.006979,0.076981,0.018599,-113.230024,10.891929,10.719357,10.718000,10.549071,10.499143,10.420333,10.514133,10.387714,0.000002,96.353193,2017-10-21
58048.748831,0.120224,0.004885,0.120854,0.006860,0.076848,0.017633,-113.231146,10.889071,10.716857,10.715400,10.546071,10.496286,10.417800,10.510933,10.384643,0.000002,96.186716,2017-10-22
58049.650648,0.120559,0.004661,0.120311,0.005701,0.077715,0.018633,-113.231685,10.887571,10.714857,10.713867,10.544600,10.494714,10.415667,10.509429,10.383071,0.000002,97.120024,2017-10-23
58050.664850,0.120068,0.005615,0.119685,0.005518,0.077837,0.019432,-113.230667,10.885214,10.712929,10.711867,10.542786,10.492500,10.415000,10.507800,10.381286,0.000002,97.011863,2017-10-24
58051.684838,0.126307,0.006383,0.126362,0.006664,0.077554,0.018612,-113.229062,10.886267,10.713571,10.712600,10.543667,10.493571,10.414857,10.508643,10.381929,0.000002,96.840273,2017-10-25
58052.632037,0.119303,0.005976,0.119237,0.005669,0.077634,0.018333,-113.232539,10.888133,10.715786,10.714286,10.545600,10.496286,10.417429,10.511000,10.384733,0.000002,96.921714,2017-10-26
58053.712245,0.115026,0.004906,0.116128,0.005645,0.076363,0.019216,-113.231298,10.886800,10.714857,10.713071,10.543867,10.495000,10.416286,10.509429,10.383643,0.000002,95.390013,2017-10-27
58054.705336,0.102084,0.003158,0.102305,0.003077,0.077340,0.018491,-113.229238,10.882857,10.710214,10.709200,10.539733,10.490000,10.410933,10.504500,10.378286,0.000003,96.421342,2017-10-28
58055.639028,0.096491,0.002271,0.096702,0.003292,0.077280,0.018897,-113.229786,10.880067,10.707786,10.706200,10.537400,10.487286,10.409071,10.502357,10.375786,0.000003,96.491291,2017-10-29
58057.626250,0.093435,0.002340,0.093645,0.003434,0.077259,0.018968,-113.232494,10.874429,10.702000,10.700571,10.531571,10.481000,10.402357,10.496067,10.369400,0.000002,96.231527,2017-10-31
58058.702616,0.099817,0.003118,0.100229,0.003337,0.076997,0.018216,-113.229170,10.874429,10.702067,10.700857,10.532929,10.481800,10.403214,10.497071,10.370533,0.000003,96.173347,2017-11-01
58059.654236,0.100762,0.003258,0.100553,0.003693,0.077812,0.019062,-113.228795,10.876000,10.703533,10.702214,10.533000,10.483733,10.405643,10.499071,10.372933,0.000003,97.256406,2017-11-02
58060.655127,0.091418,0.002731,0.091180,0.003442,0.077809,0.018512,-113.230208,10.874429,10.701000,10.700400,10.531600,10.482143,10.403733,10.497143,10.370286,0.000003,97.287338,2017-11-03
58061.689780,0.073807,0.004181,0.072928,0.004753,0.078422,0.017817,-113.229917,10.866786,10.694571,10.693400,10.523600,10.473786,10.394533,10.488571,10.361786,0.000003,97.996260,2017-11-04
58063.660845,0.058478,0.006423,0.058109,0.006623,0.077833,0.018402,-113.229156,10.854800,10.682000,10.680929,10.511733,10.462357,10.383500,10.477500,10.350786,0.000003,97.174792,2017-11-06
58064.709965,0.045341,0.009159,0.045289,0.008492,0.077581,0.017751,-113.228417,10.849643,10.677429,10.675867,10.507000,10.456929,10.379000,10.472357,10.345857,0.000003,97.091160,2017-11-07
58065.574560,0.062050,0.005789,0.061052,0.005855,0.078564,0.018420,-113.229458,10.850071,10.677143,10.676000,10.507643,10.458857,10.379667,10.473933,10.347714,0.000003,98.173860,2017-11-08
58066.807847,0.055993,0.009220,0.054127,0.009075,0.079393,0.018587,-113.228521,10.848286,10.675467,10.674357,10.505214,10.455400,10.377400,10.470400,10.344000,0.000003,99.151667,2017-11-09
58067.795324,0.042049,0.010656,0.041043,0.011044,0.078434,0.018253,-113.231156,10.842933,10.670214,10.668857,10.499933,10.450571,10.371143,10.465429,10.338429,0.000003,98.058668,2017-11-10
58068.767778,0.031609,0.010580,0.031185,0.009324,0.078026,0.018365,-113.229929,10.837133,10.664357,10.663667,10.494533,10.445071,10.366286,10.459929,10.333786,0.000003,97.729689,2017-11-11
58070.769988,-0.014000,0.017636,-0.014981,0.017147,0.078533,0.019093,-113.227937,10.818733,10.645733,10.645143,10.475000,10.426000,10.346857,10.440214,10.314067,0.000004,98.154968,2017-11-13
58071.714838,0.047469,0.010451,0.047482,0.008995,0.076969,0.018473,-113.227617,10.811133,10.637786,10.637214,10.467733,10.417429,10.338571,10.432571,10.306714,0.000004,96.415425,2017-11-14
58072.660880,0.053381,0.008829,0.053369,0.008175,0.077130,0.019381,-113.229750,10.806786,10.633933,10.632643,10.464071,10.414133,10.335214,10.428867,10.302333,0.000004,96.333464,2017-11-15
58073.629988,0.062857,0.007690,0.062660,0.006466,0.077125,0.019253,-113.229909,10.806867,10.634400,10.633286,10.464143,10.414400,10.335429,10.429786,10.303467,0.000003,96.479601,2017-11-16
58074.640278,0.065771,0.008030,0.066193,0.006268,0.076648,0.019489,-113.227750,10.806800,10.634000,10.633214,10.463857,10.413600,10.334500,10.428214,10.301800,0.000004,95.967049,2017-11-17
58075.621979,0.063382,0.008454,0.061641,0.007077,0.078644,0.018386,-113.227375,10.803571,10.631133,10.629714,10.460500,10.410600,10.332500,10.425667,10.299200,0.000004,98.381261,2017-11-18
58076.680891,0.062593,0.008216,0.061107,0.007690,0.078476,0.020307,-113.227687,10.799429,10.626733,10.625714,10.456643,10.407000,10.327357,10.421500,10.294933,0.000004,97.942500,2017-11-19
58077.694479,0.055597,0.010040,0.054378,0.008247,0.078380,0.018592,-113.229714,10.795786,10.622400,10.621357,10.452429,10.403000,10.323857,10.417714,10.291200,0.000004,98.052494,2017-11-20
58078.672894,0.050225,0.009832,0.049406,0.008586,0.077931,0.018091,-113.227863,10.791857,10.619000,10.618067,10.449000,10.400143,10.321333,10.414933,10.288500,0.000005,97.499969,2017-11-21
58079.711586,0.048698,0.010562,0.048502,0.010188,0.077253,0.018679,-113.227142,10.790000,10.617800,10.616143,10.447857,10.397933,10.319429,10.413571,10.286800,0.000003,96.481723,2017-11-22
58080.645312,0.056963,0.009133,0.057101,0.008265,0.076961,0.019224,-113.229955,10.792143,10.619600,10.618714,10.449429,10.400267,10.321571,10.414929,10.288933,0.000005,96.265695,2017-11-23
58081.607269,0.051861,0.009646,0.050267,0.009253,0.078601,0.019706,-113.227784,10.791000,10.618800,10.617357,10.448857,10.399333,10.320286,10.413929,10.288000,0.000005,98.228319,2017-11-24
58082.729780,0.046424,0.011830,0.045896,0.009924,0.077663,0.018458,-113.229113,10.786867,10.614571,10.613467,10.443733,10.394571,10.315786,10.410000,10.283714,0.000005,97.354087,2017-11-25
58083.689965,0.044477,0.011018,0.043543,0.009554,0.078072,0.017497,-113.228443,10.783714,10.610600,10.609714,10.440357,10.391267,10.313071,10.406571,10.280333,0.000005,97.694518,2017-11-26
58084.554456,0.039544,0.012256,0.037731,0.011384,0.078953,0.018109,-113.227972,10.783333,10.610867,10.609571,10.440214,10.390867,10.312429,10.406000,10.279933,0.000005,98.779532,2017-11-27
58085.559491,0.018753,0.014862,0.018194,0.014283,0.077543,0.019866,-113.227774,10.779571,10.606714,10.605667,10.436667,10.387286,10.308867,10.402733,10.276286,0.000005,96.934955,2017-11-28
58086.576296,-0.001518,0.017878,-0.002326,0.016311,0.078134,0.018724,-113.228351,10.776643,10.604214,10.602667,10.433467,10.384714,10.306533,10.400143,10.273714,0.000004,97.903939,2017-11-29
58087.600035,0.005140,0.017607,0.006071,0.016062,0.076364,0.017947,-113.227807,10.775467,10.602714,10.602000,10.433267,10.384714,10.306000,10.400071,10.273286,0.000005,95.702115,2017-11-30
58088.527211,0.003590,0.018061,0.001428,0.017293,0.079325,0.017728,-113.227167,10.775000,10.602214,10.601333,10.432000,10.383857,10.305000,10.398143,10.272214,0.000006,99.335509,2017-12-01
58089.724583,0.011692,0.017348,0.009358,0.017049,0.079266,0.017950,-113.227195,10.776933,10.604429,10.603143,10.434600,10.384929,10.306357,10.399714,10.273500,0.000006,99.142262,2017-12-02
58090.721968,0.032238,0.015246,0.030662,0.013380,0.078820,0.017971,-113.226565,10.775643,10.602643,10.601867,10.433214,10.384000,10.304133,10.398267,10.272214,0.000006,98.804183,2017-12-03
58091.585116,0.023368,0.014621,0.022206,0.015059,0.078195,0.020277,-113.226558,10.777533,10.605143,10.603714,10.435333,10.386500,10.308143,10.401714,10.275286,0.000006,97.676541,2017-12-04
58093.715590,0.025789,0.013357,0.025227,0.012490,0.077606,0.018492,-113.228040,10.778786,10.605733,10.604857,10.436643,10.387733,10.309643,10.403143,10.276667,0.000006,97.095286,2017-12-06
58094.587419,0.034468,0.012845,0.033678,0.011541,0.077854,0.018447,-113.227675,10.780867,10.608000,10.607429,10.438867,10.389357,10.311071,10.404714,10.277933,0.000006,97.502733,2017-12-07
58095.660174,0.026740,0.014725,0.025681,0.013867,0.078496,0.019202,-113.226136,10.782600,10.609857,10.608857,10.440067,10.391571,10.312571,10.407000,10.279933,0.000006,98.374945,2017-12-08
58096.622616,0.002092,0.016434,0.000636,0.017311,0.078390,0.019288,-113.226625,10.774857,10.602143,10.601667,10.431800,10.383357,10.304333,10.397429,10.272071,0.000006,98.100029,2017-12-09
58097.734850,-0.033493,0.020996,-0.036948,0.022504,0.080760,0.017208,-113.226423,10.763571,10.591067,10.590071,10.420571,10.371667,10.292643,10.386200,10.260286,0.000006,100.922111,2017-12-10
58101.661400,-0.012873,0.019628,-0.013457,0.016717,0.077811,0.016058,-113.229352,10.750357,10.577667,10.576429,10.408000,10.358533,10.280000,10.373714,10.247400,0.000007,97.889092,2017-12-14
58102.576100,-0.025242,0.021995,-0.026237,0.019965,0.078312,0.017398,-113.226202,10.754857,10.582714,10.581600,10.412733,10.364143,10.286000,10.379357,10.253071,0.000007,98.260381,2017-12-15
58106.686944,-0.009176,0.019391,-0.009331,0.018974,0.077075,0.018724,-113.227125,10.758143,10.585429,10.584600,10.415571,10.366714,10.287800,10.381333,10.256000,0.000006,96.451259,2017-12-19
58107.568958,0.003244,0.018918,0.001720,0.016267,0.078806,0.015809,-113.225455,10.754333,10.581600,10.580286,10.411714,10.362733,10.283714,10.377500,10.251267,0.000008,99.060171,2017-12-20
58108.729248,0.013152,0.016377,0.012982,0.016637,0.077428,0.018964,-113.226266,10.758867,10.585929,10.584500,10.416667,10.367286,10.288500,10.383000,10.256133,0.000008,96.839195,2017-12-21
58109.597361,0.009836,0.016678,0.009174,0.014764,0.077899,0.016856,-113.228747,10.764800,10.592071,10.591357,10.422733,10.374714,10.295857,10.389500,10.264000,0.000006,97.851380,2017-12-22
58110.732859,0.009597,0.015641,0.008506,0.014783,0.078339,0.019037,-113.226325,10.767067,10.594357,10.593357,10.424467,10.375929,10.296929,10.391286,10.264571,0.000008,98.082215,2017-12-23
58111.714005,0.003594,0.017395,0.002841,0.016254,0.077913,0.017573,-113.225625,10.766571,10.593467,10.593429,10.424143,10.375867,10.296714,10.390143,10.264600,0.000008,97.667144,2017-12-24
58112.733102,-0.002817,0.018616,-0.004048,0.017654,0.078367,0.019190,-113.225530,10.765467,10.592500,10.592267,10.423133,10.374357,10.295067,10.389000,10.262714,0.000007,98.082582,2017-12-25
58113.648669,-0.024528,0.023500,-0.025865,0.020258,0.078609,0.016893,-113.224591,10.762667,10.589857,10.588786,10.419867,10.370857,10.291643,10.385571,10.259667,0.000009,99.057035,2017-12-26
58114.689572,-0.011016,0.019676,-0.013191,0.019453,0.079201,0.018608,-113.226786,10.759071,10.586400,10.585286,10.416643,10.367267,10.289071,10.382857,10.257333,0.000008,99.173825,2017-12-27
58115.669097,-0.001771,0.017805,-0.003511,0.015751,0.078917,0.019663,-113.225568,10.757867,10.584600,10.583929,10.414857,10.367286,10.288071,10.382500,10.256000,0.000008,99.180739,2017-12-28
58116.649803,0.009362,0.017272,0.007734,0.013819,0.078854,0.018267,-113.227262,10.756000,10.583429,10.582600,10.413714,10.365500,10.287067,10.380533,10.254214,0.000008,99.469118,2017-12-29
58117.718588,0.016830,0.015379,0.015951,0.014442,0.078124,0.017918,-113.225021,10.759143,10.586429,10.585400,10.417000,10.368429,10.289200,10.383333,10.256786,0.000008,97.980673,2017-12-30
58118.679803,0.016814,0.015864,0.017047,0.012940,0.076777,0.019577,-113.225208,10.764267,10.591857,10.590267,10.422467,10.372786,10.294467,10.388429,10.262929,0.000008,96.648513,2017-12-31
58119.539745,0.030370,0.014132,0.028466,0.014701,0.079081,0.017567,-113.224739,10.766000,10.593214,10.591857,10.423267,10.375071,10.295786,10.389571,10.264267,0.000009,98.894778,2018-01-01
58120.600787,0.031778,0.013006,0.029833,0.011307,0.079076,0.017897,-113.225955,10.768143,10.595667,10.595071,10.425714,10.377333,10.298429,10.392600,10.266643,0.000009,99.465972,2018-01-02
58121.675833,-0.000724,0.015899,0.000149,0.014141,0.076408,0.016539,-113.225687,10.768857,10.596286,10.595286,10.426467,10.378429,10.299143,10.392786,10.267143,0.000008,95.953484,2018-01-03
58122.614306,0.002792,0.014893,0.000930,0.016303,0.078824,0.019223,-113.224637,10.770929,10.598214,10.597667,10.428500,10.380500,10.301800,10.395733,10.268786,0.000008,98.311278,2018-01-04
58123.654410,0.009100,0.017194,0.007745,0.015449,0.078450,0.017069,-113.225185,10.774533,10.601500,10.600643,10.432133,10.383214,10.304143,10.398000,10.271929,0.000009,98.528163,2018-01-05
58124.726817,-0.006968,0.019162,-0.007651,0.018199,0.078057,0.016660,-113.223708,10.772333,10.599429,10.598429,10.429467,10.381071,10.301643,10.395857,10.269333,0.000008,97.842687,2018-01-06
58125.629444,-0.006600,0.019314,-0.008947,0.018447,0.079241,0.018267,-113.224056,10.765933,10.593214,10.591714,10.422667,10.373857,10.294786,10.387929,10.262000,0.000009,99.320295,2018-01-07
58126.633519,0.010923,0.017365,0.009728,0.016846,0.078050,0.018810,-113.224119,10.761714,10.589643,10.587733,10.418867,10.369429,10.290667,10.383867,10.257857,0.000008,97.484306,2018-01-08
58127.692384,-0.002467,0.020523,-0.005061,0.019340,0.079527,0.019513,-113.223792,10.754214,10.581571,10.580267,10.411067,10.361857,10.283333,10.376000,10.250500,0.000008,99.419429,2018-01-09
