wlc,wll,posc,posm,posme,posmy,d,sd,k,order,flag
nan,nan,0.00000000,-1.00000000,0.00000000,7.65414624,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.72467320,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.83027504,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.93565071,nan,0.00000000,-2147483648,118,1
5160.37061090,5160.37797541,0.00000000,903.64817605,0.17112088,8.06348924,0.01998405,0.01998408,38726,118,1
5160.51656571,5160.51126692,0.00000000,909.44918831,0.21582606,8.26607963,0.01998410,0.01998408,38725,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.45914319,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.52851661,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.63238933,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.73603732,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.83946078,nan,0.00000000,-2147483648,118,1
5161.04532056,5161.04450182,930.49664837,930.52928074,0.08400670,8.99518042,0.01998409,0.01998408,38721,118,0
5161.04532056,5161.04450182,930.49664837,930.52928074,0.08400670,8.99518042,0.01998409,0.01998408,38721,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,9.28503900,nan,0.00000000,-2147483648,118,1
5161.50024212,nan,0.00000000,948.64231929,0.48861590,9.61281963,0.01998481,0.01998408,38719,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.72641953,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.82768203,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.89506672,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.96235254,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.16361736,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.26391676,nan,0.00000000,-2147483648,118,1
5162.13390415,5162.11130218,0.00000000,973.97952996,0.29039220,10.46316981,0.01998417,0.01998408,38713,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.62978522,nan,0.00000000,-2147483648,118,1
5162.38901242,5162.37807117,0.00000000,984.20019069,0.24962693,10.80171219,0.01998412,0.01998408,38711,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.99268105,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.05834343,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.12390789,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.18937449,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.25474327,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.35261315,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.48276447,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.58012180,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.67725977,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.77417855,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.87087831,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.93522323,nan,0.00000000,-2147483648,118,1
5163.51497308,5163.31197974,0.00000000,1029.44961559,0.46978429,12.26983354,0.01998487,0.01998408,38704,118,1
5163.51497308,5163.31197974,0.00000000,1029.44961559,0.46978429,12.26983354,0.01998487,0.01998408,38704,118,1
5163.51497308,5163.31197974,0.00000000,1029.44961559,0.46978429,12.26983354,0.01998487,0.01998408,38704,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.44648757,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.57333473,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.66821627,nan,0.00000000,-2147483648,118,1
5164.12177266,5164.11274171,0.00000000,1053.93014174,0.07136316,13.04338379,0.01998412,0.01998408,38698,118,1
5164.12177266,nan,0.00000000,1053.93014174,0.07136316,13.04338379,0.01998412,0.01998408,38698,118,1
5164.12177266,nan,0.00000000,1053.93014174,0.07136316,13.04338379,0.01998412,0.01998408,38698,118,1
5164.37274269,5164.37971755,0.00000000,1064.07479784,0.10847306,13.35970699,0.01998406,0.01998408,38696,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,13.51238958,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,13.57422402,nan,0.00000000,-2147483648,118,1
