bjd,rvc,e_rvc,avc,e_avc,nzp_date,e_nzp_date,nzp,e_nzp,tzp_pix,tzp_median,tzp_gauss,tzp_weighted,tzp_mean,dd_m_date,dd_moes_date,dd_moes_obs,pix2ms,t1,t2,t3,t4,t5,t6,t7,t8,pressure,starid,spt
2458048.2668,-10.337775,0.848305,-0.3039383224611832,1.172995219750932,2.8375577979657183,0.8893499655388312,1.5038559237602864,0.8101212332321238,[0.0694089  0.0622717  0.08491831 ... 0.12807364 0.04090399 0.13772027],96.41594479114536,96.53018096322853,95.57056823945844,96.32403747222732,0.07732790000000023,0.07806957185994179,0.07806387184882624,1258.0034032220103,10.891833333333352,10.71918181818188,10.717909090909131,10.548916666666685,10.498636363636422,10.420181818181845,10.51327272727275,10.387,2.0764166666666664e-06,J17578+046,['M3.5 V']
2458055.2595,-10.077036,0.854374,2.0352943665111463,1.29617025538679,0.9743070188600116,0.8594829307872877,-0.5746377652120422,0.9747319626817704,[0.07757598 0.08218476 0.09634041 ... 0.12028123 0.00824084 0.03744442],96.18100326425149,96.32809671002336,95.66660250534963,96.56114416510103,0.07753232000004573,0.0769949950024511,0.07699209848533428,1257.4284091265145,10.88254545454555,10.709545454545491,10.708833333333303,10.53991666666667,10.489363636363635,10.410250000000076,10.503999999999962,10.377727272727327,2.5240909090909096e-06,J17578+046,['M3.5 V']
2458056.2613,-12.261279,0.846063,0.426553670434222,1.1486860027436805,-0.2148276579720864,0.6953098340135455,-1.1501400691351182,0.7769536234102101,"[ 0.11718129  0.07826692  0.09658993 ...  0.13545444 -0.02090113
  0.07090809]",96.6130358369131,96.56139655972972,95.95150901136606,96.82866205053162,0.07738366000000951,0.07863529924270551,0.07862999693566053,1258.1404367932664,10.879916666666588,10.707333333333338,10.70599999999996,10.537083333333328,10.486333333333334,10.408272727272788,10.501363636363635,10.3751666666667,2.4710833333333337e-06,J17578+046,['M3.5 V']
2458058.2599,-11.934625,0.774978,0.8920747464601176,1.678145190191779,1.3933865218261126,0.778720696994925,-1.2890071451610143,1.4884825759409488,[0.05840183 0.06003993 0.08167116 ... 0.11810924 0.01764825 0.08194876],96.90638746663352,97.28946066854652,96.35690562550225,97.39818617092857,0.07799462999992102,0.07666451392697127,0.07666330959364132,1258.1503230513108,10.873999999999967,10.701166666666666,10.699636363636387,10.530636363636347,10.48083333333335,10.4018333333334,10.495583333333343,10.369166666666672,1.9273636363636365e-06,J17578+046,['M3.5 V']
2458059.2552,-8.023751,0.720723,1.4361021826940448,1.0791450492259511,3.90864437388968,0.8814126667233586,2.077839418605058,0.8031888909465076,[0.09716689 0.08401192 0.0805514  ... 0.13714153 0.01707051 0.08089066],97.1137227779428,97.33814298797022,95.9763383879112,96.88816652068563,0.07805383000027177,0.07713960349678928,0.07714019331467625,1258.800352417939,10.874636363636341,10.701909090909055,10.701083333333372,10.531818181818267,10.481909090909085,10.40308333333337,10.496916666666664,10.370090909090948,2.5926363636363634e-06,J17578+046,['M3.5 V']
2458060.257,-8.819325,1.017877,0.2568594230992579,1.2313823600923162,4.145856960682925,0.6153258479543395,2.4615081781998467,0.6929855190532648,[0.0818954  0.06202506 0.12205224 ... 0.11567288 0.05441695 0.11464405],96.90180982418484,96.86454937378959,96.32194990377359,97.18278906712366,0.0775623300000916,0.07703288636230354,0.07702580569707607,1259.3924166047846,10.874916666666707,10.702083333333348,10.70145454545451,10.531916666666689,10.482499999999959,10.403636363636338,10.497636363636389,10.370916666666687,2.79625e-06,J17578+046,['M3.5 V']
2458065.2436,-9.990262,0.858003,1.9194373739785136,1.123137016361084,0.738148469093194,0.7520649883009021,-0.3720067726794097,0.7247534818898613,[0.06315339 0.05441374 0.12163157 ... 0.09405246 0.03873376 0.0660467 ],97.65235038199681,98.0966366267517,96.69787579243153,97.4882099322227,0.07841585999995004,0.07753709662119945,0.0775349032937811,1258.143214415582,10.84963636363642,10.677090909090907,10.675500000000056,10.50672727272729,10.456727272727278,10.378833333333375,10.472000000000037,10.345000000000084,2.0552500000000004e-06,J17578+046,['M3.5 V']
2458066.2435,-10.298946,1.070891,-0.0610770788894411,1.423143880017404,3.1564461016844003,0.8791716285325641,1.299823680188544,0.937299828950156,[0.08653448 0.08179278 0.09336843 ... 0.0961613  0.00825682 0.0435394 ],97.74780726184937,97.82227086912803,97.27735687831128,98.07043214614461,0.07835814000009123,0.07764231090027351,0.07762981555401893,1258.017806045054,10.849818181818193,10.67718181818185,10.675749999999994,10.506636363636403,10.45675,10.379000000000019,10.472416666666675,10.345636363636402,2.5935454545454547e-06,J17578+046,['M3.5 V']
2458074.242,-9.556672,0.711023,0.9226600153747618,1.144436384785692,2.238919377506281,0.8157412152020401,1.0583605859243412,0.8967613574928083,[0.0740635  0.06648366 0.08626937 ... 0.12994752 0.1020869  0.07670056],97.01859168116154,96.92430525364063,96.45218678282129,97.12847414597961,0.07774325999980647,0.07704487278124361,0.07703761897209915,1258.1601399188758,10.8067272727273,10.633916666666664,10.632583333333343,10.464090909090942,10.413333333333355,10.334166666666704,10.428333333333342,10.301500000000033,3.260583333333334e-06,J17578+046,['M3.5 V']
2458136.7498,-12.916522,0.700983,-1.3981202882023394,1.2224830147905696,0.6888703929220189,0.8802920773953556,0.0192908895014427,1.0015425877926711,[0.1108089  0.07847641 0.11962338 ... 0.13710911 0.0489891  0.06941812],97.4334153530439,97.48626562372365,96.46414783004838,97.23494349716084,0.07790998999990961,0.07623005538448524,0.07625164485693858,1259.1767184075225,10.786000000000058,10.613500000000045,10.612363636363682,10.444000000000074,10.39536363636364,10.316636363636349,10.410583333333363,10.284000000000049,9.862272727272728e-06,J17578+046,['M3.5 V']
