bjd,nzp,e_nzp,tzp,e_tzp,rvc,avc,star,spt,t1,t2,t3,t4,t5,t6,t7,t8
2458054.6789,0.0759717118401775,0.5433914401716922,0.37687031811123006,3.474343479454271,1.420968,5.254415300345272,J09439+269,['M3.5 V'],10.88466666666676,10.712454545454593,10.711272727272783,10.541499999999983,10.492090909090962,10.412727272727352,10.50672727272729,10.380416666666632
2458109.6074,1.1134295519110808,0.7451899314776741,-2.2559431559738954,8.815740749510972,-12.244145,-9.44815553972563,J09439+269,['M3.5 V'],10.759818181818162,10.58681818181816,10.58600000000007,10.417454545454577,10.368454545454597,10.289750000000026,10.38391666666672,10.257090909091003
2458682.402,-0.0629315001528477,0.5694235637685657,2.117442807684327,5.523569372914228,15.544499,3.5351647868232448,J18427+596S,['M3.5 V'],10.964,10.790999999999997,10.790090909090909,10.620333333333347,10.567583333333404,10.488363636363658,10.582181818181766,10.45566666666673
2458684.6174,0.9807910296932972,1.011786914033298,1.6027415573435064,6.14974060084058,18.735206,5.682149256977102,J18427+596S,['M3.5 V'],10.947083333333296,10.77466666666669,10.773727272727283,10.604000000000042,10.55191666666667,10.472583333333375,10.566181818181803,10.439833333333354
2458686.5597,1.1039686396082764,1.5885934161577822,1.8125073873292763,5.892104741515067,18.838884,5.66264964706212,J18427+596S,['M3.5 V'],10.934727272727288,10.761909090909114,10.761000000000024,10.591916666666693,10.539818181818193,10.460545454545525,10.55475000000007,10.427727272727282
2458688.4637,-0.8917229836430198,0.6893254324047474,1.3639775868189332,4.6169001171848105,17.547891,6.367348270313417,J18427+596S,['M3.5 V'],10.933583333333331,10.760916666666674,10.759727272727275,10.590727272727293,10.53808333333336,10.459750000000042,10.552999999999995,10.426666666666732
2458690.4297,0.741941532602093,1.1264228066316406,1.53389966683757,10.791941386237228,15.563447,2.749239754068304,J18427+596S,['M3.5 V'],10.932583333333357,10.759454545454616,10.75875000000002,10.589727272727316,10.53727272727275,10.458833333333416,10.552750000000003,10.426000000000045
2458693.561,0.3256464515555106,0.638918080036495,0.9166703976048467,4.421265261062821,18.730878,6.332965835114887,J18427+596S,['M3.5 V'],10.923000000000002,10.75018181818183,10.749083333333315,10.579833333333395,10.526454545454612,10.447666666666636,10.541666666666629,10.41500000000002
2458695.5452,0.8333595753821392,1.0755157685057837,1.9591020793669855,3.9398679282681504,18.329035,5.423409711288259,J18427+596S,['M3.5 V'],10.9209166666667,10.747833333333404,10.746727272727355,10.578454545454576,10.524583333333396,10.44633333333337,10.540090909090909,10.41358333333335
2458697.6672,-0.6081360048270009,0.7638620523484088,1.612164134942418,5.966179556003517,19.564708,8.100578291497397,J18427+596S,['M3.5 V'],10.915833333333296,10.743181818181824,10.741499999999974,10.57336363636358,10.52000000000004,10.441416666666669,10.53533333333337,10.408636363636449
2458701.3818,0.9083952609084576,0.6792683344900617,2.3538948596536784,10.94940077988834,17.426722,4.44606102576194,J18427+596S,['M3.5 V'],10.918000000000063,10.745000000000005,10.744416666666725,10.575636363636365,10.522636363636424,10.444416666666768,10.537916666666716,10.412181818181864
2458704.4094,0.0747075861682057,0.8655508572578796,2.156459352088362,4.258223481442629,16.091237,3.944263700502191,J18427+596S,['M3.5 V'],10.91566666666671,10.74272727272728,10.741666666666674,10.572833333333335,10.52054545454547,10.441666666666665,10.534833333333438,10.408818181818276
2458706.4078,0.1879193290949223,1.0053599327327902,1.3760172977459888,3.7026065189676416,16.77667,4.516484957575474,J18427+596S,['M3.5 V'],10.915166666666664,10.742416666666657,10.741181818181872,10.572727272727263,10.519833333333338,10.441000000000033,10.53427272727282,10.408666666666704
2458710.3649,-0.4963374389767585,0.6012575841723337,1.7442407293561786,5.008648133989334,14.344806,2.7688777256471555,J18427+596S,['M3.5 V'],10.921181818181822,10.748416666666683,10.746909090909128,10.579333333333352,10.52608333333336,10.447727272727263,10.5418181818182,10.41483333333332
2458712.3619,1.75620354195784,0.6716647751008638,1.4318541258545707,3.8174102804662864,16.798728,2.970258744712557,J18427+596S,['M3.5 V'],10.930500000000052,10.757909090909097,10.75672727272729,10.588181818181852,10.534916666666676,10.45608333333331,10.549545454545466,10.423636363636376
2458714.3793,3.258033458052827,0.9049478129002858,1.847399957758455,10.345624220821188,18.047084,2.7167848286175715,J18427+596S,['M3.5 V'],10.92625000000004,10.753454545454533,10.752583333333462,10.583181818181856,10.530272727272743,10.451583333333303,10.545166666666717,10.419545454545528
2458718.3833,0.6296013392835258,0.544285675677542,1.94865478813351,4.859296133225257,14.297365,1.5954979473868702,J18427+596S,['M3.5 V'],10.926636363636362,10.753833333333318,10.752583333333462,10.58325000000002,10.530272727272743,10.451999999999998,10.546250000000043,10.418583333333345
2458721.6142,7.3146436865494096,1.6395929642533482,1.1584643982744325,4.959971276483175,18.170254,-1.2166553998790128,J18427+596S,['M3.5 V'],10.91408333333328,10.740636363636328,10.739583333333371,10.571000000000083,10.51672727272728,10.437416666666708,10.531749999999988,10.405272727272743
2458724.3503,-0.1678031136923727,0.6301691018937848,1.6298595262173734,3.693090348646378,13.237323,1.3328604003627695,J18427+596S,['M3.5 V'],10.906416666666644,10.733363636363606,10.73283333333336,10.56341666666674,10.509909090909048,10.431333333333384,10.52591666666666,10.399
2458727.5007,-1.2024550518981991,0.4314794007617377,1.0754834927921735,4.236595682498687,12.104662,1.2348513385685953,J18427+596S,['M3.5 V'],10.905333333333315,10.73249999999996,10.73127272727271,10.561909090909069,10.509083333333365,10.429916666666657,10.524181818181772,10.397749999999974
2458731.5681,-1.1839149731604497,0.5959545828798736,1.8513510112107667,11.618114839872192,11.788564,0.9002132598308454,J18427+596S,['M3.5 V'],10.904727272727255,10.732249999999963,10.731083333333345,10.562416666666708,10.50854545454547,10.429090909090917,10.523666666666657,10.397083333333342
2458737.3597,0.0419117477316583,2.3898186232579017,-0.41689193385855106,7.48100563813072,13.471045,1.3568675389387386,J18427+596S,['M3.5 V'],10.886636363636342,10.713333333333368,10.71290909090908,10.543749999999989,10.489583333333314,10.410818181818172,10.504636363636394,10.378416666666736
2458741.471,1.1333140058068565,0.9371711051572628,-0.08938127523386186,5.383982933250636,13.681735,0.47615528086354,J18427+596S,['M3.5 V'],10.871916666666664,10.698909090909126,10.697583333333398,10.52872727272728,10.4763636363636,10.39766666666668,10.490999999999984,10.365181818181838
2458743.3497,0.341384375757683,0.7649577583542766,0.9528975541800122,9.458355509307363,9.217783,-3.1958670890872853,J18427+596S,['M3.5 V'],10.8704166666667,10.697636363636375,10.696083333333377,10.52791666666667,10.475181818181852,10.396416666666653,10.49049999999994,10.363727272727315
2458756.3253,2.3733325156419163,0.8547299743632931,-0.33624995784030887,5.321748379010366,14.584716,0.1391177710284807,J18427+596S,['M3.5 V'],10.881083333333322,10.708583333333364,10.707272727272766,10.538909090909044,10.48508333333342,10.40616666666665,10.50018181818183,10.373500000000092
2458759.3833,-0.8314884165893429,0.6177749761728495,0.07600733594851761,5.166604236877284,8.975577,-2.265200296740261,J18427+596S,['M3.5 V'],10.885500000000036,10.712636363636364,10.711666666666645,10.54327272727278,10.488909090909146,10.411,10.50524999999999,10.378181818181872
2458761.2975,-0.4943732976275683,0.5190823915321235,-0.24979120010559086,8.397866624450886,6.224803,-5.353089415702035,J18427+596S,['M3.5 V'],10.890000000000043,10.717166666666742,10.716000000000008,10.547000000000082,10.49466666666666,10.415636363636338,10.509666666666703,10.383416666666676
2458765.2898,-1.3036259681386368,0.6145625468605598,-0.0872798633444063,5.169642520807711,8.004943,-2.7636967451909653,J18427+596S,['M3.5 V'],10.890727272727304,10.71758333333338,10.717090909090928,10.547666666666714,10.494166666666729,10.415090909090964,10.509363636363616,10.38250000000005
2458767.4075,-0.2952799557241437,1.053252059666856,0.15576051710229422,7.306310484144787,8.474357,-3.30262875760546,J18427+596S,['M3.5 V'],10.895727272727244,10.72283333333337,10.721727272727264,10.55308333333329,10.49900000000008,10.421272727272822,10.515083333333394,10.388166666666676
2458771.3902,4.001411837743572,0.7371689307310267,1.3621154840551384,4.2788618833305,5.970766,-10.102911551073175,J18427+596S,['M3.5 V'],10.896749999999995,10.723750000000052,10.722454545454582,10.553636363636429,10.501166666666675,10.42208333333332,10.515909090909132,10.389166666666654
2458774.3138,1.5494469428311604,0.4437645184456945,-0.02464930322318537,11.559181945438503,10.001778,-3.619934656160764,J18427+596S,['M3.5 V'],10.890166666666689,10.716818181818212,10.716000000000008,10.547181818181857,10.49458333333331,10.415500000000009,10.509181818181844,10.38318181818181
2458141.7534,-1.6127315449607722,0.6431396303505404,-0.8447423866828387,6.559706011620594,-13.400918,-5.228907629757412,J15598-082,['M1.0 V'],10.78727272727275,10.61445454545452,10.613416666666753,10.444166666666716,10.395833333333314,10.316083333333324,10.410166666666726,10.284250000000045
2458660.4222,1.2090416062372389,0.395645202106921,0.7775605221762447,3.90074112689318,0.8833,6.233537219044578,J15598-082,['M1.0 V'],10.865499999999995,10.692333333333352,10.691272727272748,10.523727272727283,10.47199999999998,10.392833333333384,10.48663636363642,10.360250000000008
2458663.4364,1.1857239804739124,0.5063247664035124,0.9401945410958206,2.055761858587679,-9.41953,-4.045975155192095,J15598-082,['M1.0 V'],10.89125000000007,10.718363636363677,10.717166666666683,10.549500000000023,10.497000000000073,10.418333333333408,10.512250000000051,10.385636363636364
2458698.4172,0.0555159437988787,0.6265379258562265,1.5757495200623737,4.93940443816045,-3.693819,2.8099438814829383,J15598-082,['M1.0 V'],10.915916666666648,10.742999999999997,10.741166666666686,10.573272727272752,10.520727272727244,10.441750000000011,10.535833333333414,10.409090909090992
2458718.3692,0.7361438098383778,0.5330181453955408,1.9482045738963478,4.859216193442975,-8.069141,-2.246005984556561,J15598-082,['M1.0 V'],10.926818181818248,10.753545454545533,10.75241666666676,10.583333333333428,10.530272727272743,10.451999999999998,10.546250000000043,10.41827272727278
2458330.4891,-0.5292908535839786,0.8394519671368988,0.4071458572732638,8.466759918397862,-19.286142,-16.45269037371193,J19169+051S,['M8.0 V'],10.87908333333337,10.706727272727278,10.705250000000037,10.535750000000007,10.483750000000043,10.40509090909086,10.498727272727308,10.372666666666705
2458335.4439,0.6434254192781621,0.7912980158693785,1.0224264612978118,6.116853270736622,-8.305105,-6.644369646574071,J19169+051S,['M8.0 V'],10.885181818181875,10.712166666666748,10.711181818181842,10.542090909090971,10.490416666666704,10.411333333333404,10.505272727272713,10.378636363636415
2458349.451,-0.9293490969359722,0.5524432379360884,0.6588201803932208,4.008626761911325,-5.862387,-2.628877130359937,J19169+051S,['M8.0 V'],10.874083333333315,10.701727272727284,10.699416666666709,10.530090909090916,10.478090909090952,10.398750000000009,10.49275,10.3662727272727
2458367.3724,-2.786084402519009,1.6636208778775607,0.9039989210457833,4.122149699685763,-16.078212,-10.9879668247769,J19169+051S,['M8.0 V'],10.887250000000051,10.715166666666676,10.71363636363634,10.54654545454548,10.492833333333351,10.414166666666633,10.509363636363672,10.381500000000017
2458383.3537,-1.738364631575716,0.531222479194677,-0.25521181377953894,11.890296896735297,-7.192165,-3.1496395957201937,J19169+051S,['M8.0 V'],10.868272727272767,10.695750000000032,10.69450000000012,10.52625000000006,10.473416666666708,10.395090909090923,10.488666666666688,10.362666666666712
2458393.3282,-0.2848001150404219,0.7225348441641799,0.33038370518744387,4.812566222696969,-2.982465,-0.3935041122554877,J19169+051S,['M8.0 V'],10.863333333333344,10.6904545454546,10.689416666666716,10.520090909090923,10.467636363636416,10.388666666666609,10.482833333333303,10.356181818181769
2458647.53,2.1961587281684016,0.8015082535604177,0.08042708353045214,6.9755680667113005,-0.173831,-0.0658289554643112,J19169+051S,['M8.0 V'],10.845000000000027,10.672636363636345,10.671500000000036,10.503454545454588,10.45199999999994,10.372833333333404,10.467083333333392,10.34136363636361
