wlc,wll,posc,posm,posme,posmy,order,flag
5175.75559756,5175.76055339,0.00000000,1537.00000000,0.00000000,25.43667413,118,4
5182.10973183,5182.10933371,1812.99320792,1813.01079689,0.02020799,30.27325655,118,0
5182.32081307,5182.32049588,1822.32761502,1822.34164404,0.01310234,30.40905759,118,0
5186.01446029,5186.01505343,1987.44462542,1987.41783553,0.07031626,32.52122242,118,0
5186.16039246,5186.15775082,0.00000000,1994.00000000,0.00000000,32.59417536,118,4
5190.64652922,5190.64778331,2199.52443438,2199.46620772,0.03709753,34.44616065,118,0
5192.95909310,5192.95913527,2307.58189190,2307.57990600,0.01584883,35.09480517,118,0
5193.44849480,5193.44805687,2330.64020603,2330.66089020,0.03132086,35.20459192,118,0
5195.34955776,5195.34150094,0.00000000,2421.00000000,0.00000000,35.53795674,118,4
5199.44349154,5199.44224981,2619.35684954,2619.41785675,0.07638632,35.73589482,118,0
5202.91056988,5202.90437392,0.00000000,2791.89433447,0.05737785,35.31619498,118,0
5204.64891213,5204.63842920,0.00000000,2880.00000000,0.00000000,34.89005373,118,4
5206.60711394,5206.61196877,0.00000000,2980.62775187,0.06714425,34.22789395,118,0
5207.46136604,5207.44655664,0.00000000,3025.00000000,0.00000000,33.87629686,118,4
5209.23684266,5209.23637960,3118.14816412,3118.17263095,0.01758967,33.01873199,118,0
5214.17266609,5214.18357616,0.00000000,1294.00000000,0.00000000,54.61680401,117,4
5216.63206006,5216.63177488,1395.86944399,1395.88132725,0.01778121,57.06595601,117,0
5218.38646956,5218.38634606,1469.28414366,1469.28933346,0.01752417,58.70926403,117,0
5220.00230749,5220.00089976,1537.42009886,1537.47972869,0.02892363,60.14447575,117,0
5227.94299251,5227.94224367,1880.95191253,1880.98500475,0.02113624,66.03110175,117,0
5231.75533172,5231.75142885,0.00000000,2051.27172852,0.00000000,68.11424848,117,2
5180.42319364,5232.45594910,0.00000000,-1.00000000,0.00000000,6.77687604,117,4
5233.62661855,5233.62651274,2136.22532450,2136.23015553,0.01247618,68.94566096,117,0
5234.25937118,5234.25993874,2165.20013397,2165.17412128,0.01150103,69.19724338,117,0
5235.61547034,5235.61642150,2227.63307619,2227.58912282,0.06288559,69.68492724,117,0
5240.81737845,5240.81717539,2471.87302974,2471.88272655,0.02729068,70.87189034,117,0
5241.46980339,5241.46900990,2503.07292517,2503.11098740,0.03168585,70.94058522,117,0
5243.24372447,5243.24415191,2588.69707458,2588.67633617,0.02249971,71.03220401,117,0
5243.78513285,5243.77132820,0.00000000,2615.00000000,0.00000000,71.03190137,117,4
