wlc,wll,posc,posm,posme,posmy,d,sd,k,order,flag
5160.00004916,5159.99196989,0.00000000,889.00000000,nan,7.41243391,0.01998416,0.01998413,38729,118,1
5160.25356355,5160.25846306,0.00000000,899.06201880,0.04962206,7.77542731,0.01998411,0.01998413,38727,118,1
5160.38274216,5160.39171997,0.00000000,904.19339933,0.19298690,7.95948209,0.01998410,0.01998413,38726,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.09555627,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.16689233,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.30923883,nan,0.00000000,-2147483648,118,1
5160.76369540,5160.52498377,0.00000000,919.34288574,0.09196637,8.49869777,0.01998506,0.01998413,38725,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.73367907,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.04945833,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.22394943,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.36305900,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.50173962,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.57091928,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.77781653,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.88090467,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.98375284,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.18873027,nan,0.00000000,-2147483648,118,1
5162.12468049,5162.12468632,973.67719087,973.67695747,0.15363351,10.38179068,0.01998413,0.01998413,38713,118,0
5162.12468049,5162.12468632,973.67719087,973.67695747,0.15363351,10.38179068,0.01998413,0.01998413,38713,118,0
5162.37464495,5162.39139985,0.00000000,983.68663301,0.30283112,10.72011570,0.01998407,0.01998413,38711,118,1
5162.37464495,5162.39139985,0.00000000,983.68663301,0.30283112,10.72011570,0.01998407,0.01998413,38711,118,1
5162.52333184,5162.52476695,989.71480494,989.65722763,0.24084066,10.92065919,0.01998413,0.01998413,38710,118,0
5162.52333184,5162.52476695,989.71480494,989.65722763,0.24084066,10.92065919,0.01998413,0.01998413,38710,118,0
5162.66548268,5162.65814094,0.00000000,995.35202331,0.43998258,11.11106298,0.01998416,0.01998413,38709,118,1
5162.66548268,5162.65814094,0.00000000,995.35202331,0.43998258,11.11106298,0.01998416,0.01998413,38709,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.33225645,nan,0.00000000,-2147483648,118,1
5162.89122970,5162.65814094,0.00000000,1004.41706339,0.19789910,11.41238991,0.01998504,0.01998413,38709,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.56390839,nan,0.00000000,-2147483648,118,1
5163.24490084,5163.05830427,0.00000000,1018.63736715,0.03312224,11.88074002,0.01998486,0.01998413,38706,118,1
5163.24490084,5163.05830427,0.00000000,1018.63736715,0.03312224,11.88074002,0.01998486,0.01998413,38706,118,1
5163.41181891,5163.19170583,0.00000000,1025.35657917,0.24270140,12.10020154,0.01998499,0.01998413,38705,118,1
5163.41181891,5163.19170583,0.00000000,1025.35657917,0.24270140,12.10020154,0.01998499,0.01998413,38705,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.34842028,nan,0.00000000,-2147483648,118,1
5163.73217660,5163.72538104,0.00000000,1038.26653785,0.09344085,12.51856711,0.01998416,0.01998413,38701,118,1
5163.73217660,5163.72538104,0.00000000,1038.26653785,0.09344085,12.51856711,0.01998416,0.01998413,38701,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.70298162,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.79913644,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.92698115,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,13.08620653,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,13.14971631,nan,0.00000000,-2147483648,118,1
5164.37850490,5164.39263025,0.00000000,1064.36940947,0.26627813,13.35129049,0.01998408,0.01998413,38696,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,13.56002348,nan,0.00000000,-2147483648,118,1
5164.69498776,nan,0.00000000,1077.17886705,0.07071701,13.75352205,0.01998479,0.01998413,38695,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,14.05907457,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,14.21368865,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,14.30615181,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,14.39838630,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,14.45974904,nan,0.00000000,-2147483648,118,1
5165.33871627,5165.32706895,0.00000000,1103.29034632,0.01714147,14.56048064,0.01998418,0.01998413,38689,118,1
5165.47752761,5165.46058781,0.00000000,1108.93099512,0.28522404,14.73252711,0.01998420,0.01998413,38688,118,1
5165.47752761,nan,0.00000000,1108.93099512,0.28522404,14.73252711,0.01998420,0.01998413,38688,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,14.91674053,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,15.03764489,nan,0.00000000,-2147483648,118,1
5165.82870626,nan,0.00000000,1123.21729207,0.26275593,15.16468055,0.01998504,0.01998413,38687,118,1
5165.82870626,5165.59411357,0.00000000,1123.21729207,0.26275593,15.16468055,0.01998504,0.01998413,38687,118,1
5166.09575543,nan,0.00000000,1134.09655238,0.29632563,15.49032723,0.01998504,0.01998413,38685,118,1
5166.09575543,5165.86118581,0.00000000,1134.09655238,0.29632563,15.49032723,0.01998504,0.01998413,38685,118,1
5166.23019090,nan,0.00000000,1139.57835508,0.12939618,15.65328817,0.01998505,0.01998413,38684,118,1
5166.23019090,nan,0.00000000,1139.57835508,0.12939618,15.65328817,0.01998505,0.01998413,38684,118,1
5166.23019090,nan,0.00000000,1139.57835508,0.12939618,15.65328817,0.01998505,0.01998413,38684,118,1
5166.34769502,nan,0.00000000,1144.37254261,0.04825612,15.79519163,0.01998498,0.01998413,38683,118,1
5166.48816724,5166.26184597,0.00000000,1150.10724772,0.20374158,15.96417955,0.01998501,0.01998413,38682,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.13697075,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.19541964,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.31201916,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.48617383,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.54402709,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.68822711,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.80314218,nan,0.00000000,-2147483648,118,1
5167.33115054,5167.33057707,1184.57611597,1184.59962238,0.28013428,16.96334915,0.01998414,0.01998413,38674,118,0
5167.33115054,5167.33057707,1184.57611597,1184.59962238,0.28013428,16.96334915,0.01998414,0.01998413,38674,118,0
5167.46127364,5167.46419956,0.00000000,1189.93657303,0.07483726,17.11532201,0.01998412,0.01998413,38673,118,1
5167.57601847,5167.59782896,0.00000000,1194.64499813,0.20886955,17.24881564,0.01998405,0.01998413,38672,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,17.39997956,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,17.51243515,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,17.59651983,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,17.68038447,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,17.76402929,nan,0.00000000,-2147483648,118,1
5168.14434460,5168.13241572,0.00000000,1218.00296963,0.22280598,17.90303175,0.01998418,0.01998413,38668,118,1
5168.41292347,5168.39975060,0.00000000,1229.06317890,0.20876182,18.20816615,0.01998419,0.01998413,38666,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,18.31606009,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,18.37072889,nan,0.00000000,-2147483648,118,1
5168.66517634,5168.66711316,0.00000000,1239.46384484,0.14996290,18.49239608,0.01998413,0.01998413,38664,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,18.64262096,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,18.85839619,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,18.91209908,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,18.96570573,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,19.17917125,nan,0.00000000,-2147483648,118,1
5169.48593468,5169.46936688,0.00000000,1273.39080105,0.10412756,19.40141568,0.01998420,0.01998413,38658,118,1
5169.48593468,5169.46936688,0.00000000,1273.39080105,0.10412756,19.40141568,0.01998420,0.01998413,38658,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,19.52278130,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,19.57528580,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,19.70612960,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,19.83637786,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,19.94014833,nan,0.00000000,-2147483648,118,1
5170.09945161,nan,0.00000000,1298.83805124,0.11182559,20.06515229,0.01998502,0.01998413,38655,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,20.24918156,nan,0.00000000,-2147483648,118,1
5170.40348118,5170.40564456,0.00000000,1311.47626488,0.04642505,20.38907762,0.01998413,0.01998413,38651,118,1
5170.40348118,5170.40564456,0.00000000,1311.47626488,0.04642505,20.38907762,0.01998413,0.01998413,38651,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,20.55480794,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,20.65592862,nan,0.00000000,-2147483648,118,1
5170.80809367,5170.80701030,1328.28728438,1328.33244197,0.15282375,20.81524405,0.01998414,0.01998413,38648,118,0
5170.93102965,5170.94081274,0.00000000,1333.44994921,0.32764033,20.94330518,0.01998410,0.01998413,38647,118,1
5171.08492470,5171.07462211,0.00000000,1339.87062763,0.09868942,21.10310858,0.01998418,0.01998413,38646,118,1
5171.21472351,5171.20843841,0.00000000,1345.28971158,0.15073349,21.23723266,0.01998416,0.01998414,38645,118,1
5171.21472351,5171.20843841,0.00000000,1345.28971158,0.15073349,21.23723266,0.01998416,0.01998414,38645,118,1
5171.53896774,nan,0.00000000,1358.84181917,0.05418981,21.56965142,0.01998490,0.01998414,38644,118,1
5171.53896774,5171.34226164,0.00000000,1358.84181917,0.05418981,21.56965142,0.01998490,0.01998414,38644,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,21.74350878,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,21.79187200,nan,0.00000000,-2147483648,118,1
5171.88426230,5171.87762386,0.00000000,1373.29732418,0.19724086,21.91952174,0.01998416,0.01998414,38640,118,1
5171.88426230,5171.87762386,0.00000000,1373.29732418,0.19724086,21.91952174,0.01998416,0.01998414,38640,118,1
5172.01202068,5172.01148175,1378.63416298,1378.65675818,0.07794338,22.04800701,0.01998414,0.01998414,38639,118,0
5172.01202068,5172.01148175,1378.63416298,1378.65675818,0.07794338,22.04800701,0.01998414,0.01998414,38639,118,0
5172.26856962,5172.27921833,0.00000000,1389.41482290,0.09913677,22.30391461,0.01998409,0.01998414,38637,118,1
5172.26856962,nan,0.00000000,1389.41482290,0.09913677,22.30391461,0.01998409,0.01998414,38637,118,1
5172.41471949,5172.41309703,1395.49005146,1395.55821681,0.62341968,22.44885427,0.01998414,0.01998414,38636,118,0
5172.41471949,5172.41309703,1395.49005146,1395.55821681,0.62341968,22.44885427,0.01998414,0.01998414,38636,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,22.57651627,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,22.62326459,nan,0.00000000,-2147483648,118,1
