A,e_A
2262.399787723210466,0.016847975476872
30567.367603673108533,0.653079492343492
371.004836443200475,20.494199564030446
7851.825690178666264,256.188480184117793
2373.110041180625558,5420.310776623525271
-471.459171785474609,2.456867469617175
1938.997351523488760,221.586647626413850
-60116.861076235771179,17039.509068515690160
14190.185617446899414,606835.035797024378553
-15012068.997680664062500,31801299.429975029081106
-8648.879307455383241,83.441475953400598
-104.955728612840176,1918.257276757912223
-16480.605913281440735,28183.483296086473274
89334.605604648590088,406028.840023226686753
-43139.609378457069397,7119.746586701779961
79951.725287437438965,163504.259446895885048
-288276.570022583007812,1677275.143558381358162
5525985.637512207031250,32533989.474174905568361
-3632028.137802124023438,493897.526764064619783
-1463640.792236328125000,5604726.048777471296489
-28572401.147460937500000,103670724.534953355789185
-3346861.793457031250000,18179503.356783580034971
688956.728515625000000,317761998.677359700202942
-587885282.500000000000000,921994629.773441195487976
