A,e_A
2257.777982239579160,0.016955390879807
30617.444006973677460,0.656945677975828
427.487671043287264,20.930091570525637
8174.062243025284261,258.380646766872133
2865.197632186114788,5547.569357529644549
-470.756931953867024,2.505640719686151
2011.871366240084171,223.131205590585694
-62665.055027306079865,17694.219897677325207
32748.033092498779297,605348.342400075751357
-13092760.143188476562500,33056586.589964099228382
-8589.050621307455003,86.384675522555881
89.214387267827988,1980.236034509725641
-16537.961622834205627,29111.259047455445398
64242.204674243927002,426740.318807013449259
-39969.762167215347290,7197.839877762545257
87598.536941528320312,172011.517599971586606
-252788.069076538085938,1722831.026430326746777
5854181.256912231445312,34429010.575655683875084
-3689537.674743652343750,526197.056714136619121
-2211324.762298583984375,5706481.153204924426973
-24579843.476074218750000,109420824.333133026957512
-1848295.842285156250000,18190961.407667040824890
-44286254.087890625000000,336628014.951438188552856
-482201267.593750000000000,976612072.538951873779297
