wlc,wll,posc,posm,posme,posmy,order,flag
5175.75455836,5175.76055339,0.00000000,1537.00000000,0.00000000,6.66100911,118,4
5182.10996621,5182.10933371,1813.03685067,1813.06479693,0.02496040,10.92088007,118,0
5182.32122252,5182.32049588,1822.37201283,1822.40415422,0.01518774,11.05427133,118,0
5186.01369342,5186.01505343,1987.49410242,1987.43267253,0.04218000,13.23018983,118,0
5186.15940797,5186.15775082,0.00000000,1994.00000000,0.00000000,13.30880599,118,4
5190.64707291,5190.64778331,2199.57616745,2199.54318268,0.03640560,15.39981698,118,0
5192.95892569,5192.95913527,2307.64345556,2307.63358598,0.03037200,16.18019447,118,0
5193.44818433,5193.44805687,2330.70139173,2330.70741187,0.02583295,16.31583822,118,0
5195.34837316,5195.34150094,0.00000000,2421.00000000,0.00000000,16.73808855,118,4
5199.44216659,5199.44224981,2619.42690976,2619.42282040,0.02236586,17.03963971,118,0
5202.91307907,5202.90437392,0.00000000,2792.09464241,0.05988937,16.59294165,118,0
5204.64736936,5204.63842920,0.00000000,2880.00000000,0.00000000,16.11816331,118,4
5206.60852663,5206.61196877,0.00000000,2980.78529749,0.07188785,15.37854243,118,0
5207.45969671,5207.44655664,0.00000000,3025.00000000,0.00000000,14.99138946,118,4
5209.23626400,5209.23637960,3118.23757476,3118.23146637,0.03646159,14.05777601,118,0
5214.17148133,5214.18357616,0.00000000,1294.00000000,0.00000000,35.61754541,117,4
5216.63174291,5216.63177488,1395.91269025,1395.91135766,0.04058334,38.09051415,117,0
5218.38641469,5218.38634606,1469.32626568,1469.32914997,0.01631956,39.75161184,117,0
5220.00162103,5220.00089976,1537.45998066,1537.49053719,0.01790310,41.20276256,117,0
5227.94173476,5227.94224367,1881.00144099,1880.97895062,0.03554257,47.16399123,117,0
5231.75060395,5231.75142885,0.00000000,2051.10498047,0.00000000,49.27043230,117,2
nan,5232.45594910,0.00000000,-1.00000000,0.00000000,-11.56644005,117,4
5233.62662415,5233.62651274,2136.28224685,2136.28733325,0.03163147,50.11242325,117,0
5234.25939231,5234.25993874,2165.25557026,2165.23052781,0.03059670,50.36609828,117,0
5235.61599082,5235.61642150,2227.69028528,2227.67038083,0.07227393,50.85727065,117,0
5240.81735869,5240.81717539,2471.94255489,2471.95130936,0.04883345,52.04090135,117,0
5241.46989063,5241.46900990,2503.13985379,2503.18209404,0.04705383,52.10738839,117,0
5243.24414186,5243.24415191,2588.76487222,2588.76438444,0.03166522,52.19101721,117,0
5243.78377970,5243.77132820,0.00000000,2615.00000000,0.00000000,52.18774244,117,4
5246.14597811,5246.14447602,0.00000000,2731.00000000,0.00000000,52.01084213,117,5
5249.10475251,5249.10399466,0.00000000,2879.06274414,0.00000000,51.40103924,117,2
5249.48795269,5249.48780406,2898.47479427,2898.48233191,0.02023632,51.28920698,117,0
5252.20520490,5252.20350117,3037.63055865,3037.71878180,0.05773725,50.27193685,117,0
5252.67651522,5252.67669865,3062.18572124,3062.17618508,0.05766399,50.05431933,117,0
5255.33180771,5255.33154202,3201.62993747,3201.64404330,0.05768635,48.59230185,117,0
5256.73416100,5256.73420351,3276.52188159,3276.51959812,0.07173241,47.65301666,117,0
5257.15327611,5257.15363591,3299.08918056,3299.06978726,0.04743963,47.34911946,117,0
5258.50832255,5258.50801425,0.00000000,3372.54296875,0.00000000,46.29178214,117,2
5260.17351365,5260.18264452,0.00000000,3464.00000000,0.00000000,44.83278529,117,4
5261.36009429,5261.36791758,0.00000000,3530.00000000,0.00000000,43.68217566,117,4
5249.48366899,5249.48780406,0.00000000,909.00000000,0.00000000,60.38376007,116,4
5252.20395272,5252.20350117,0.00000000,1016.00000000,0.00000000,63.71661809,116,4
5252.67719547,5252.67669865,1034.73628602,1034.75598550,0.03130725,64.27962048,116,0
5255.33067968,5255.33154202,1140.61560192,1140.58099952,0.05914607,67.33667661,116,0
5256.73577044,5256.73420351,1197.07501003,1197.13827986,0.10200395,68.88674726,116,0
5257.15293204,5257.15363591,1214.02873901,1214.00025818,0.04324370,69.33753255,116,0
5258.50545865,5258.50801425,1269.00562121,1268.90156603,0.06041901,70.76898719,116,0
5260.17988879,5260.18264452,1337.46098461,1337.34788932,0.03070654,72.47557474,116,0
5261.36902351,5261.36791758,1386.24688905,1386.29254397,0.02891925,73.64256807,116,0
5265.33064156,5265.33100601,1551.41154626,1551.39620696,0.02488338,77.24861136,116,0
5266.21863971,5266.21892710,1588.86986262,1588.85771238,0.04704404,77.99541293,116,0
5266.71328784,5266.71303273,0.00000000,1609.78991699,0.00000000,78.40114270,116,2
5266.84272485,5266.84038732,1615.18482228,1615.28396295,0.17821204,78.50625940,116,0
5268.87672806,5268.87801204,0.00000000,1702.00000000,0.00000000,80.08950682,116,4
5269.60966670,5269.60471623,0.00000000,1733.47587427,0.03358587,80.62880304,116,0
5270.01733671,5270.01799965,1751.07118306,1751.04259561,0.03439562,80.92157001,116,0
5272.09574277,5272.09532822,1841.14769678,1841.16577222,0.03538159,82.33079896,116,0
5273.47287082,5273.47272601,1901.43787660,1901.44424036,0.02599004,83.18646947,116,0
5274.70989011,5274.70935759,1955.95860700,1955.98216431,0.03448994,83.90045756,116,0
5276.15131817,5276.14631750,0.00000000,2020.00000000,0.00000000,84.66542073,116,4
5276.66121808,5276.66080874,2042.76021093,2042.77851439,0.03689529,84.91852248,116,0
5277.39469281,5277.39483989,2075.65790548,2075.65129789,0.02636229,85.26610374,116,0
5281.84952023,5281.84889931,2278.41452490,2278.44316949,0.01374253,86.94725433,116,0
