wlc,wll,posc,posm,posme,posmy,d,sd,k,order,flag
5177.03363663,5176.82685105,0.00000000,1592.00000000,nan,7.46431139,0.01998542,0.01998462,38604,118,1
5177.21994641,5177.22928730,0.00000000,1600.01559207,0.02753774,7.59101234,0.01998459,0.01998462,38601,118,1
5177.35688586,nan,0.00000000,1605.91206984,0.17718046,7.68410536,0.01998460,0.01998462,38600,118,1
5177.35688586,nan,0.00000000,1605.91206984,0.17718046,7.68410536,0.01998460,0.01998462,38600,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.84312750,nan,0.00000000,-2147483648,118,1
5177.76614111,5177.76596628,1623.54887158,1623.55641839,0.04648033,7.96202038,0.01998462,0.01998462,38597,118,0
5177.76614111,5177.76596628,1623.54887158,1623.55641839,0.04648033,7.96202038,0.01998462,0.01998462,38597,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,8.03183863,nan,0.00000000,-2147483648,118,1
5178.02775561,5178.03434749,0.00000000,1634.85988613,0.19676428,8.13947137,0.01998460,0.01998462,38595,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.21999399,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.25129445,nan,0.00000000,-2147483648,118,1
5178.32130604,5178.30275651,0.00000000,1647.55846441,0.19580738,8.33819219,0.01998470,0.01998462,38593,118,1
5178.43324250,5178.43697146,0.00000000,1652.40583442,0.23750787,8.41385686,0.01998461,0.01998462,38592,118,1
5178.58605788,5178.57119336,0.00000000,1659.02806245,0.09108797,8.51704273,0.01998468,0.01998462,38591,118,1
5178.58605788,5178.57119336,0.00000000,1659.02806245,0.09108797,8.51704273,0.01998468,0.01998462,38591,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.60990612,nan,0.00000000,-2147483648,118,1
5178.82540930,nan,0.00000000,1669.41104153,0.16589891,8.67837713,0.01998457,0.01998462,38589,118,1
5178.82540930,5178.83965803,0.00000000,1669.41104153,0.16589891,8.67837713,0.01998457,0.01998462,38589,118,1
5178.97125104,5178.97390080,0.00000000,1675.74404301,0.21575430,8.77649589,0.01998461,0.01998462,38588,118,1
5179.11534466,5179.10815053,0.00000000,1682.00593760,0.16643846,8.87328885,0.01998465,0.01998462,38587,118,1
5179.25412237,5179.24240722,0.00000000,1688.04134167,0.15047803,8.96636140,0.01998467,0.01998462,38586,118,1
5179.37927197,5179.37667087,0.00000000,1693.48787814,0.10454523,9.05016124,0.01998464,0.01998462,38585,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.11944212,nan,0.00000000,-2147483648,118,1
5179.63639081,5179.64521904,0.00000000,1704.68912854,0.22978419,9.22190502,0.01998459,0.01998463,38583,118,1
5179.74883789,nan,0.00000000,1709.59265547,0.22286180,9.29682530,0.01998554,0.01998463,38584,118,1
5179.74883789,nan,0.00000000,1709.59265547,0.22286180,9.29682530,0.01998554,0.01998463,38584,118,1
5179.92413674,5179.91379506,0.00000000,1717.24286345,0.12493813,9.41337782,0.01998467,0.01998463,38581,118,1
5180.02517323,nan,0.00000000,1721.65545170,0.12613685,9.48041410,0.01998557,0.01998463,38582,118,1
5180.18285140,5180.18239893,1728.52223631,1728.54202000,0.09099134,9.58474812,0.01998463,0.01998463,38579,118,0
5180.18285140,5180.18239893,1728.52223631,1728.54202000,0.09099134,9.58474812,0.01998463,0.01998463,38579,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,9.68226193,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.74249796,nan,0.00000000,-2147483648,118,1
5180.59352021,5180.58535695,0.00000000,1746.52163221,0.22927063,9.85541975,0.01998466,0.01998463,38576,118,1
5180.59352021,5180.58535695,0.00000000,1746.52163221,0.22927063,9.85541975,0.01998466,0.01998463,38576,118,1
5180.71678532,5180.71969022,0.00000000,1751.92474620,0.11404658,9.93625032,0.01998462,0.01998463,38575,118,1
5180.86868851,nan,0.00000000,1758.58811126,0.09856177,10.03559594,0.01998468,0.01998463,38574,118,1
5180.98097140,5180.98837765,0.00000000,1763.51701849,0.06202225,10.10883622,0.01998460,0.01998463,38573,118,1
5181.12003485,5181.12273182,0.00000000,1769.62567648,0.09785808,10.19930993,0.01998462,0.01998463,38572,118,1
5181.24749850,5181.25709295,0.00000000,1775.22883930,0.10046724,10.28200182,0.01998459,0.01998463,38571,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.32279261,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.36687153,nan,0.00000000,-2147483648,118,1
5181.53589221,5181.52583612,0.00000000,1787.92065593,0.02654634,10.46823324,0.01998467,0.01998463,38569,118,1
5181.65815156,5181.66021816,0.00000000,1793.30714823,0.22015361,10.54680750,0.01998462,0.01998463,38568,118,1
5181.80062973,5181.79460717,0.00000000,1799.58897937,0.14880347,10.63808364,0.01998465,0.01998463,38567,118,1
5181.92326293,nan,0.00000000,1804.99977184,0.16606229,10.71638805,0.01998461,0.01998463,38566,118,1
5182.09310616,nan,0.00000000,1812.49956187,0.05079374,10.82443160,0.01998578,0.01998463,38567,118,1
5182.09310616,nan,0.00000000,1812.49956187,0.05079374,10.82443160,0.01998578,0.01998463,38567,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.90330132,nan,0.00000000,-2147483648,118,1
5182.33186057,5182.33223290,1823.06778886,1823.05131847,0.06286596,10.97544978,0.01998463,0.01998463,38563,118,0
5182.46309188,5182.46665676,0.00000000,1828.86131645,0.05225847,11.05809597,0.01998461,0.01998463,38562,118,1
5182.46309188,5182.46665676,0.00000000,1828.86131645,0.05225847,11.05809597,0.01998461,0.01998463,38562,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.14501769,nan,0.00000000,-2147483648,118,1
5182.74965288,5182.73552540,0.00000000,1841.55675802,0.38183385,11.23739739,0.01998468,0.01998463,38560,118,1
5182.87797463,5182.86997018,0.00000000,1847.24828861,0.25257777,11.31719341,0.01998466,0.01998463,38559,118,1
5183.00436085,5183.00442193,1852.85627577,1852.85356418,0.09895368,11.39541718,0.01998463,0.01998463,38558,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,11.49461768,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.54987875,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.63241085,nan,0.00000000,-2147483648,118,1
5183.54444448,5183.54229870,0.00000000,1876.87394340,0.06985369,11.72642679,0.01998464,0.01998463,38554,118,1
5183.68349660,5183.67678533,0.00000000,1883.06892220,0.05506916,11.81065714,0.01998466,0.01998463,38553,118,1
5183.68349660,nan,0.00000000,1883.06892220,0.05506916,11.81065714,0.01998466,0.01998463,38553,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.90432611,nan,0.00000000,-2147483648,118,1
5183.95331390,nan,0.00000000,1895.10344972,0.18806202,11.97290588,0.01998466,0.01998463,38551,118,1
5184.07657121,5184.08028709,0.00000000,1900.60709956,0.01201224,12.04648800,0.01998462,0.01998463,38550,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.10493702,nan,0.00000000,-2147483648,118,1
