wlc,wll,posc,posm,posme,posmy,order,flag
5175.75519685,5175.76055339,0.00000000,1537.00000000,0.00000000,6.57035789,118,4
5182.10950748,5182.10933371,1813.01964902,1813.02732665,0.02505463,10.86899228,118,0
5182.32093098,5182.32049588,1822.35474988,1822.37399551,0.01815476,11.00358272,118,0
5186.01416917,5186.01505343,1987.47576604,1987.43582551,0.02915733,13.19654054,118,0
5186.15988220,5186.15775082,0.00000000,1994.00000000,0.00000000,13.27567151,118,4
5190.64645696,5190.64778331,2199.55652110,2199.49493745,0.02937549,15.37949267,118,0
5192.95884028,5192.95913527,2307.62316202,2307.60927042,0.02269991,16.16396430,118,0
5193.44814937,5193.44805687,2330.68096295,2330.68533153,0.02762345,16.30018649,118,0
5195.34874903,5195.34150094,0.00000000,2421.00000000,0.00000000,16.72386687,118,4
5199.44270890,5199.44224981,2619.40467884,2619.42723675,0.03876154,17.02383537,118,0
5202.91185333,5202.90437392,0.00000000,2792.01547098,0.04309383,16.57194995,118,0
5204.64771911,5204.63842920,0.00000000,2880.00000000,0.00000000,16.09285292,118,4
5206.60755195,5206.61196877,0.00000000,2980.71617431,0.08162484,15.34860304,118,0
5207.46006431,5207.44655664,0.00000000,3025.00000000,0.00000000,14.95842792,118,4
5209.23613526,5209.23637960,3118.21140883,3118.19849810,0.03391782,14.01985933,118,0
5214.17224626,5214.18357616,0.00000000,1294.00000000,0.00000000,35.67670134,117,4
5216.63166680,5216.63177488,1395.89490757,1395.89040329,0.02896326,38.15313020,117,0
5218.38639777,5218.38634606,1469.30800461,1469.31017774,0.02082180,39.81258032,117,0
5220.00099298,5220.00089976,1537.44127414,1537.44522329,0.01209246,41.25883986,117,0
5227.94354039,5227.94224367,1880.98053708,1881.03784308,0.03535115,47.17553695,117,0
5231.75110420,5231.75142885,0.00000000,2051.10498047,0.00000000,49.25347589,117,2
nan,5232.45594910,0.00000000,-1.00000000,0.00000000,-13.17018237,117,4
5233.62733313,5233.62651274,2136.25985058,2136.29730519,0.04822267,50.08260819,117,0
5234.25921341,5234.25993874,2165.23300930,2165.19976794,0.02869318,50.33179387,117,0
5235.61576407,5235.61642150,2227.66736865,2227.63698487,0.05202525,50.81458978,117,0
5240.81727233,5240.81717539,2471.91825413,2471.92288433,0.05157183,51.97467120,117,0
5241.46984542,5241.46900990,2503.11537224,2503.15544411,0.03431021,52.03935798,117,0
5243.24396156,5243.24415191,2588.73987976,2588.73064310,0.03712925,52.11956195,117,0
5243.78417327,5243.77132820,0.00000000,2615.00000000,0.00000000,52.11567724,117,4
5246.14636298,5246.14447602,0.00000000,2731.00000000,0.00000000,51.93856630,117,5
5249.10513559,5249.10399466,0.00000000,2879.06274414,0.00000000,51.33408804,117,2
5249.48786777,5249.48780406,2898.44768128,2898.45091245,0.01989383,51.22356020,117,0
5252.20407194,5252.20350117,3037.60446056,3037.63401892,0.04698842,50.21722199,117,0
5252.67687937,5252.67669865,3062.15723775,3062.16663316,0.05526272,50.00114974,117,0
5255.33179879,5255.33154202,3201.60015300,3201.61378498,0.05755008,48.55314500,117,0
5256.73393300,5256.73420351,3276.49133803,3276.47681014,0.08042150,47.62183111,117,0
5257.15418065,5257.15363591,3299.05839754,3299.08775810,0.05601963,47.31943916,117,0
5258.50882010,5258.50801425,0.00000000,3372.54296875,0.00000000,46.26959542,117,2
5260.17406373,5260.18264452,0.00000000,3464.00000000,0.00000000,44.81849197,117,4
5261.36069095,5261.36791758,0.00000000,3530.00000000,0.00000000,43.67232177,117,4
5249.48457783,5249.48780406,0.00000000,909.00000000,0.00000000,60.27265055,116,4
5252.20483020,5252.20350117,0.00000000,1016.00000000,0.00000000,63.65156660,116,4
5252.67718422,5252.67669865,1034.71745685,1034.73671026,0.03292140,64.22063368,116,0
5255.33133668,5255.33154202,1140.59627148,1140.58803220,0.06184089,67.30889359,116,0
5256.73482303,5256.73420351,1197.05538141,1197.08039638,0.07364743,68.86899441,116,0
5257.15228327,5257.15363591,1214.00901317,1213.95428183,0.02949195,69.32309186,116,0
5258.50705551,5258.50801425,1268.98175395,1268.94271443,0.05713041,70.76492657,116,0
5260.18066252,5260.18264452,1337.43561621,1337.35427522,0.05522295,72.47758478,116,0
5261.36926769,5261.36791758,1386.22614289,1386.28187768,0.02591542,73.64727504,116,0
5265.33128919,5265.33100601,1551.38978085,1551.40169975,0.02043409,77.25480697,116,0
5266.21903504,5266.21892710,1588.84786668,1588.85242993,0.03105388,78.00004440,116,0
5266.71395765,5266.71303273,0.00000000,1609.78991699,0.00000000,78.40491831,116,2
5266.84354055,5266.84038732,1615.15791577,1615.29165216,0.16870132,78.50990698,116,0
5268.87736743,5268.87801204,0.00000000,1702.00000000,0.00000000,80.08759306,116,4
5269.60907671,5269.60471623,0.00000000,1733.42341009,0.05266503,80.62361884,116,0
5270.01724230,5270.01799965,1751.04820483,1751.01554616,0.03323162,80.91540679,116,0
5272.09552902,5272.09532822,1841.12419616,1841.13295163,0.03812381,82.31665691,116,0
5273.47291883,5273.47272601,1901.41402703,1901.42250028,0.02480150,83.16678207,116,0
5274.70994546,5274.70935759,1955.93446026,1955.96046620,0.03099580,83.87548612,116,0
5276.15186459,5276.14631750,0.00000000,2020.00000000,0.00000000,84.63450796,116,4
5276.66074842,5276.66080874,2042.73560088,2042.73290364,0.02392867,84.88494268,116,0
5277.39471314,5277.39483989,2075.63310863,2075.62741432,0.01978947,85.22969091,116,0
5281.84945703,5281.84889931,2278.38866629,2278.41439516,0.01638552,86.89441279,116,0
5282.00905227,5282.00779310,2285.72261229,2285.78076070,0.14301626,86.93996449,116,0
5284.84723968,5284.84255909,0.00000000,2418.00000000,0.00000000,87.57966538,116,4
5285.04915770,5285.04919660,2427.49773652,2427.49590581,0.01750886,87.61263534,116,0
5288.40137542,5288.40146979,2587.00909476,2587.00455487,0.05295030,87.90654927,116,0
5295.50386352,5295.50464489,2937.33167110,2937.29214755,0.04626544,86.83018126,116,0
5298.91950916,5298.92023834,3112.38895127,3112.35109481,0.03619947,85.40552292,116,0
5300.91528998,5300.91520383,3216.81220900,3216.81675581,0.05859522,84.27384765,116,0
5302.04445598,5302.04448804,3276.67077393,3276.66906650,0.05308021,83.53066500,116,0
5304.57013745,5304.56851400,3412.54479385,3412.63312785,0.06953240,81.58580016,116,0
5306.05564324,5306.04644960,0.00000000,3494.00000000,0.00000000,80.25149702,116,5
5308.06466474,5308.06476298,3605.73724605,3605.73173058,0.06967743,78.21138415,116,0
5310.02798190,5310.01852329,0.00000000,3717.00000000,0.00000000,75.94072821,116,4
