jd,d_a,d_a_std,d_b,d_b_std,dd,dd_std,tccd,t1,t2,t3,t4,t5,t6,t7,t8,p,dd_rv,rvscale,date
58046.571470,-0.000000,0.000000,0.000000,0.000000,0.077658,0.017963,-113.232518,10.894000,10.721214,10.719467,10.550667,10.499500,10.421133,10.514857,10.387786,0.000002,95.940482,1235.423949,2017-10-20
58047.699954,-0.005908,0.002463,0.006811,0.002274,0.076743,0.017760,-113.230024,10.891929,10.719357,10.718000,10.549071,10.499143,10.420333,10.514133,10.387714,0.000002,94.862686,1236.111907,2017-10-21
58048.748831,-0.001224,0.002173,0.001951,0.002244,0.076882,0.017476,-113.231146,10.889071,10.716857,10.715400,10.546071,10.496286,10.417800,10.510933,10.384643,0.000002,95.018695,1235.900577,2017-10-22
58049.650648,0.001231,0.001996,-0.001288,0.001170,0.077681,0.018663,-113.231685,10.887571,10.714857,10.713867,10.544600,10.494714,10.415667,10.509429,10.383071,0.000002,96.032584,1236.235707,2017-10-23
58050.664850,-0.000795,0.001623,0.000495,0.001493,0.077991,0.017587,-113.230667,10.885214,10.712929,10.711867,10.542786,10.492500,10.415000,10.507800,10.381286,0.000002,96.326759,1235.105547,2017-10-24
58051.684838,-0.006845,0.002305,0.007039,0.002148,0.077562,0.018082,-113.229062,10.886267,10.713571,10.712600,10.543667,10.493571,10.414857,10.508643,10.381929,0.000002,95.866210,1235.993729,2017-10-25
58052.632037,0.000483,0.001810,-0.000076,0.002086,0.077323,0.018076,-113.232539,10.888133,10.715786,10.714286,10.545600,10.496286,10.417429,10.511000,10.384733,0.000002,95.556646,1235.810225,2017-10-26
58053.712245,0.004033,0.001899,-0.003151,0.002309,0.076765,0.018421,-113.231298,10.886800,10.714857,10.713071,10.543867,10.495000,10.416286,10.509429,10.383643,0.000002,94.735976,1234.110724,2017-10-27
58054.705336,0.017765,0.002551,-0.016899,0.002602,0.076836,0.017546,-113.229238,10.882857,10.710214,10.709200,10.539733,10.490000,10.410933,10.504500,10.378286,0.000003,94.846671,1234.410753,2017-10-28
58055.639028,0.023613,0.003191,-0.023330,0.003604,0.077362,0.018296,-113.229786,10.880067,10.707786,10.706200,10.537400,10.487286,10.409071,10.502357,10.375786,0.000002,95.580101,1235.495724,2017-10-29
58057.626250,0.025892,0.003736,-0.025888,0.004710,0.077512,0.018121,-113.232494,10.874429,10.702000,10.700571,10.531571,10.481000,10.402357,10.496067,10.369400,0.000002,95.752243,1235.319737,2017-10-31
58058.702616,0.019363,0.003069,-0.018995,0.003168,0.077142,0.017683,-113.229170,10.874429,10.702067,10.700857,10.532929,10.481800,10.403214,10.497071,10.370533,0.000003,95.326615,1235.721447,2017-11-01
58059.654236,0.021444,0.003099,-0.020880,0.003224,0.077129,0.018499,-113.228795,10.876000,10.703533,10.702214,10.533000,10.483733,10.405643,10.499071,10.372933,0.000003,95.243659,1234.859806,2017-11-02
58060.655127,0.030493,0.004685,-0.030218,0.005029,0.077442,0.017774,-113.230208,10.874429,10.701000,10.700400,10.531600,10.482143,10.403733,10.497143,10.370286,0.000003,95.630698,1234.862681,2017-11-03
58061.689780,0.046100,0.007308,-0.045981,0.007756,0.077584,0.016950,-113.229917,10.866786,10.694571,10.693400,10.523600,10.473786,10.394533,10.488571,10.361786,0.000003,95.915791,1236.278816,2017-11-04
