order,wll
118,5182.11
118,5182.32
118,5186.02
118,5190.65
118,5192.96
118,5193.45
118,5206.61
118,5209.24
117,5216.63
117,5218.39
117,5220.0
117,5227.94
117,5233.63
117,5234.26
117,5235.62
117,5240.82
117,5241.47
117,5243.24
117,5249.49
117,5252.2
117,5252.68
117,5255.33
117,5256.73
116,5252.68
116,5255.33
116,5256.73
116,5257.15
116,5261.37
116,5265.33
116,5270.02
116,5272.1
116,5273.47
116,5274.71
116,5276.66
116,5277.39
116,5281.85
116,5285.05
116,5288.4
116,5295.5
116,5298.92
116,5300.92
116,5302.04
115,5295.5
115,5298.92
115,5300.92
115,5302.04
115,5308.06
115,5310.02
115,5311.52
115,5316.76
115,5326.99
115,5333.06
115,5334.58
115,5338.03
115,5339.74
115,5342.99
115,5348.13
115,5355.85
114,5338.03
114,5348.13
114,5355.85
114,5357.07
114,5358.06
114,5359.81
114,5366.2
114,5377.0
114,5377.26
114,5384.43
114,5392.59
114,5395.64
114,5397.04
114,5401.03
114,5403.39
113,5384.43
113,5395.64
113,5397.04
113,5400.34
113,5401.03
113,5407.89
113,5408.37
113,5411.74
113,5416.26
113,5423.5
113,5428.19
113,5430.56
113,5431.75
113,5432.86
113,5440.6
113,5445.44
113,5447.38
113,5453.91
112,5431.75
112,5432.86
112,5440.14
112,5440.6
112,5445.82
112,5447.38
112,5453.91
112,5460.38
112,5460.77
112,5461.09
112,5465.74
112,5478.29
112,5478.71
112,5479.37
112,5481.94
112,5482.73
112,5490.41
112,5494.48
112,5496.83
112,5497.95
112,5499.27
112,5502.21
112,5503.34
112,5503.71
111,5477.23
111,5478.29
111,5481.94
111,5482.73
111,5490.41
111,5494.48
111,5496.12
111,5496.83
111,5497.95
111,5499.27
111,5502.21
111,5503.34
111,5503.71
111,5505.66
111,5511.95
111,5520.68
111,5521.34
111,5522.56
111,5526.97
111,5529.35
111,5529.52
111,5532.23
111,5534.63
111,5536.26
111,5546.08
111,5554.26
110,5529.52
110,5532.23
110,5536.26
110,5554.26
110,5559.42
110,5565.72
110,5570.03
110,5574.62
110,5575.14
110,5582.35
110,5583.59
110,5586.17
110,5592.66
110,5593.27
110,5597.84
109,5572.21
109,5574.62
109,5575.14
109,5582.77
109,5583.59
109,5586.17
109,5592.66
109,5593.27
109,5596.7
109,5597.84
109,5604.61
109,5610.41
109,5610.85
109,5612.45
109,5616.3
109,5620.06
109,5622.34
109,5623.08
109,5624.11
109,5629.36
109,5633.76
109,5634.02
109,5638.34
109,5647.51
109,5656.37
109,5657.18
108,5622.34
108,5623.08
108,5624.11
108,5626.56
108,5629.36
108,5638.34
108,5644.16
108,5647.51
108,5656.37
108,5656.97
108,5657.18
108,5659.83
108,5660.64
108,5661.28
108,5667.36
108,5671.01
108,5674.61
108,5675.83
108,5679.63
108,5681.95
108,5684.02
108,5686.79
108,5688.04
108,5692.92
108,5696.42
108,5701.46
108,5704.43
108,5706.91
108,5708.27
108,5708.88
107,5675.83
107,5681.95
107,5684.02
107,5686.79
107,5688.04
107,5693.75
107,5696.42
107,5701.46
107,5706.91
107,5707.24
107,5708.88
107,5715.8
107,5717.28
107,5718.87
107,5723.16
107,5723.83
