Material     D0         D1          D2              E0          E1              Ltk
LF5          -2.27e-6    9.71e-9     -2.83e-11      8.36e-7     9.95e-10        2.28e-1
SFPL51-FN       -1.91e-5    -4.44e-9    -4.62e-11      3.74e-7    4.39e-10        1.63e-1
SFPL51-CAM       -1.91e-5    -4.44e-9    -4.62e-11      3.74e-7    4.39e-10        1.63e-1
SFPL53       -2.22e-5   -1.06e-8    -4.91e-11       2.77e-7     3.92e-10        2.06e-1
SLAL10       4.83e-6    1.07e-8     -3.51e-11       5.85e-7     6.98e-10        1.96e-1
SBAM4        -1.96e-6    1.25e-8     -3.24e-11       5e-7        6.02e-10        2.88e-1
SBSL7        1.7e-6     1.43e-8     -4.27e-11       4.08e-7     6.74e-10        2.01e-1
STIM2        1.62e-7    1.19e-8     -3.5e-11        6.49e-7     8.6e-10         2.91e-1
SILICA       2.237e-5   0.0         0.0             0.0         0.0             0.0
KYFSN5       5.51e-6    1.48e-8     -2.11e-11       6.22e-7     7.05e-10        2.3e-1
CAF2         -2.662e-5  0.          0.              0.          0.              0.
PSK3         2.0300E-006  1.1900E-008  2.4600E-011  3.1400E-007  2.4500E-010  2.3500E-001
FK54        -1.9800E-005  -1.0400E-008 2.3700E-011  4.1700E-007  3.1000E-010  8.5000E-002
BK7         1.8600E-006   1.3100E-008  -1.3700E-011 4.3400E-007  6.2700E-010  1.7000E-001
FK5         -7.2400E-006  1.5800E-008  -9.5100E-012 3.5100E-007  4.6100E-010  1.5600E-001
LAK16A      5.1700E-006   1.1700E-008  -1.2600E-011 4.7300E-007  5.6500E-010  2.1100E-001
VACUUM      0.0 0.0 0.0 0.0 0.0 0.0
