Material     K1          K2              K3           L1                L2             L3
LF5          1.28035628  0.163505973     0.893930112  0.00929854416     0.0449135769   110.493685
SFPL51-FN    2.447975280E-01  9.732988510E-01  6.932968270E-01  1.684836980E-02  4.390523810E-03  1.297040090E+02
SFPL51-CAM   6.603126880E-03  1.211612970E+00  4.227485910E+04  5.080091510E-02  6.745082020E-03  7.779533650E+06
SFPL53       3.768609860E-01  6.764123017E-01  1.606634714E+00  3.954130253E-04  8.906810508E-03  3.772424694E+02
SLAL10       1.539190830E+00  3.568039360E-01  1.123292850E+00  7.873351120E-03  2.744027370E-02  8.927613490E+01
SBAM4        8.858675772E-01  6.369145887E-01  3.452981815E+00  5.940158628E-04  2.826506568E-02  3.786528412E+02
SBSL7        1.256576760E+00  1.415120270E-02  7.543358420E+04  8.176191000E-03  4.803490860E-02  7.769032350E+06
SILICA       6.96166300E-001  4.07942600E-001  8.97479400E-001  4.67914800E-003  1.35120600E-002  9.79340000E+001
STIM2        1.314400350E-01  1.424576690E+00  1.461249930E+00  5.749433580E-02  1.078804880E-02  1.463658030E+02
CAF2         5.67588800E-001   4.71091400E-001   3.84847230E+000  2.52643000E-003    1.00783330E-002   1.20055600E+003
SFTM16       1.39698378     0.0745059039   1.10856264  0.0117596094    0.0712940688    116.411095
INFRASIL     0.389688462    0.710709254    0.884054889 0.00335063620   0.0104726220    97.0187451
ZNSE         2.28598369     2.59803398     725465.684  0.00149727627   0.0893997326    518793583.
Air          0.          0.              0.           0.                0.             0.
PSK3         8.87272110E-001 4.89592425E-001 1.04865296E+000 4.69824067E-003 1.61818463E-002 1.04374975E+002
FK54         7.45320416E-001 3.02330101E-001 1.01885000E+000 3.58171563E-003 1.22884773E-002 2.13017450E+002
BK7          1.03961212E+000 2.31792344E-001 1.01046945E+000 6.00069867E-003 2.00179144E-002 1.03560653E+002
FK5          8.44309338E-001 3.44147824E-001 9.10790213E-001 4.75111955E-003 1.49814849E-002 9.78600293E+001
LAK16A       1.57607885E+000 3.67649802E-001 1.16490334E+000 7.78079836E-003 2.59315960E-002 8.23723198E+001
VACUUM       -9.98340700E-005 -3.11447250E-003 2.67863389E-003 -5.31510156E-003 1.03934642E-002 1.07652513E-002
