Material     D0         D1          D2              E0          E1              Ltk
LF5          -2.27e-6    9.71e-9     -2.83e-11      8.36e-7     9.95e-10        2.28e-1
SFPL51-FN       -1.91e-5    -4.44e-9    -4.62e-11      3.74e-7    4.39e-10        1.63e-1
SFPL51-CAM       -1.91e-5    -4.44e-9    -4.62e-11      3.74e-7    4.39e-10        1.63e-1
SFPL53       -2.22e-5   -1.06e-8    -4.91e-11       2.77e-7     3.92e-10        2.06e-1
SLAL10       4.83e-6    1.07e-8     -3.51e-11       5.85e-7     6.98e-10        1.96e-1
SBAM4        -1.96e-6    1.25e-8     -3.24e-11       5e-7        6.02e-10        2.88e-1
SBSL7        1.7e-6     1.43e-8     -4.27e-11       4.08e-7     6.74e-10        2.01e-1
STIM2        1.62e-7    1.19e-8     -3.5e-11        6.49e-7     8.6e-10         2.91e-1
SILICA       2.237e-5   0.0         0.0             0.0         0.0             0.0
KYFSN5       5.51e-6    1.48e-8     -2.11e-11       6.22e-7     7.05e-10        2.3e-1
SF11         1.12e-5    1.81e-8     -5.03e-11       1.46e-6     1.58e-9         2.82e-1
