Material     K1          K2              K3           L1                L2             L3
LF5          1.28035628  0.163505973     0.893930112  0.00929854416     0.0449135769   110.493685
SFPL51-FN    2.447975280E-01  9.732988510E-01  6.932968270E-01  1.684836980E-02  4.390523810E-03  1.297040090E+02
SFPL51-CAM   6.603126880E-03  1.211612970E+00  4.227485910E+04  5.080091510E-02  6.745082020E-03  7.779533650E+06
SFPL53       3.768609860E-01  6.764123017E-01  1.606634714E+00  3.954130253E-04  8.906810508E-03  3.772424694E+02
SLAL10       1.539190830E+00  3.568039360E-01  1.123292850E+00  7.873351120E-03  2.744027370E-02  8.927613490E+01
SBAM4        8.858675772E-01  6.369145887E-01  3.452981815E+00  5.940158628E-04  2.826506568E-02  3.786528412E+02
SBSL7        1.256576760E+00  1.415120270E-02  7.543358420E+04  8.176191000E-03  4.803490860E-02  7.769032350E+06
SILICA       0.69616630  0.407942600     0.897479400  0.00467914800     0.0135120600   97.9340000
STIM2        1.314400350E-01  1.424576690E+00  1.461249930E+00  5.749433580E-02  1.078804880E-02  1.463658030E+02
CAF2         0.0670929954   0.974672825    4.09021222  0.0178869595    0.00507308920   1266.00652
SFTM16       1.39698378     0.0745059039   1.10856264  0.0117596094    0.0712940688    116.411095
INFRASIL     0.389688462    0.710709254    0.884054889 0.00335063620   0.0104726220    97.0187451
ZNSE         2.28598369     2.59803398     725465.684  0.00149727627   0.0893997326    518793583.
Air          0.          0.              0.           0.                0.             0.
SF11         1.738484030E+00  3.111689740E-01  1.174908710E+00  1.360686040E-02  6.159604630E-02  1.219227110E+02
F_SILICA     6.961663000E-01  4.079426000E-01  8.974794000E-01  4.679148000E-03  1.351206300E-02  9.793400250E+01
